X,Y,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,LAND_AREA,TOTAL_AREA
279422.513544304,157880.637678321,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01025","017019",Garryhill,23.8633870000,23.8633870000
281351.594884726,174692.03445603,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01026","017021",Grangeford,14.1825690000,14.1825690000
277546.846675441,176122.748541933,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01027","017024",Johnstown,15.5954950000,15.5954950000
277142.457863439,172000.10342078,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01028","017025",Kellistown,20.0111980000,20.0111980000
285812.762405339,165905.366751084,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01029","017026",Kilbride,14.6483290000,14.6734900000
276718.537805501,152579.358230116,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01030","017027",Killedmond,18.8101780000,18.8101780000
280462.456155693,177971.111407433,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01031","017028",Killerrig,11.1184420000,11.1184420000
268670.997407376,162825.747908125,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01032","017031",Leighlinbridge,24.6013160000,24.8083830000
272202.854382391,161906.616038566,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01033","017033",Muinebeag (Bagenalstown) Rural,14.8220570000,14.8369510000
270174.378880542,161629.521459738,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01034","017034",Muinebeag (Bagenalstown) Urban,2.8822560000,3.1057940000
283136.234412149,164917.289502763,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01014","017004",Ballon,9.7939220000,9.7939220000
