Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
AL031,Computer and Software Engineering,ATHLONE IT,295.0,345.0,True,False,False,False,False
AL033,Toxicology,ATHLONE IT,255.0,305.0,True,False,False,False,False
AL035,Construction Technology and Management,ATHLONE IT,300.0,340.0,True,False,False,False,False
AL050,Business,ATHLONE IT,275.0,320.0,True,False,False,False,False
AL051,Accounting,ATHLONE IT,270.0,345.0,True,False,False,False,False
AL052,Design (Visual Communications),ATHLONE IT,675.0,900.0,True,True,False,False,False
AL053,Pharmaceutical Sciences,ATHLONE IT,,,True,False,False,False,False
AL054,Social Care Practice,ATHLONE IT,320.0,345.0,True,False,False,False,False
AL055,Languages & Business Administration,ATHLONE IT,,,True,False,False,False,False
AL110,General Nursing (Standard Code),ATHLONE IT,365.0,390.0,True,False,True,False,False
AL111,Mature Applicants General Nursing,ATHLONE IT,173.0,184.0,True,True,True,False,False
AL112,Psychiatric Nursing (Standard Code),ATHLONE IT,330.0,345.0,True,False,True,False,False
AL113,Mature Applicants Psychiatric Nursing,ATHLONE IT,167.0,170.0,True,True,False,False,False
PC410,Humanities,CARLOW COLLEGE,275.0,320.0,True,False,False,False,False
CW105,Early Childhood Studies,IT CARLOW,300.0,330.0,True,False,False,False,False
CW111,Marketing Practice,IT CARLOW,275.0,305.0,True,False,False,False,False
CW112,Business Studies in Management,IT CARLOW,280.0,325.0,True,False,False,False,False
CW120,Early Childhood Studies,IT CARLOW,270.0,300.0,True,False,False,False,False
CW122,Accounting,IT CARLOW,275.0,355.0,True,False,False,False,False
CW123,Communications and Public Relations,IT CARLOW,310.0,355.0,True,False,False,False,False
CW131,Computer Games Development,IT CARLOW,310.0,345.0,True,False,False,False,False
CW134,Legal Studies,IT CARLOW,330.0,360.0,True,False,False,False,False
CW137,Product Design Innovation,IT CARLOW,300.0,340.0,True,False,False,False,False
CR105,Chemical & Process Engineering,IT CARLOW,335.0,455.0,True,False,False,False,False
CR106,Software Development,IT CARLOW,260.0,340.0,True,False,False,False,False
CR107,Electronic Engineering,IT CARLOW,310.0,425.0,True,False,False,False,False
CR108,Mechanical Engineering,IT CARLOW,310.0,435.0,True,False,False,False,False
CR109,Structural Engineering,IT CARLOW,410.0,455.0,True,False,False,False,False
CR111,Computerised Instrument Systems,IT CARLOW,240.0,305.0,True,False,False,False,False
CR112,Multimedia,IT CARLOW,400.0,430.0,True,False,False,False,False
CR116,Software Development and Computer Networking,IT CARLOW,255.0,335.0,True,False,False,False,False
CR121,Music at Cork School of Music,IT CARLOW,715.0,900.0,True,False,True,False,False
CR150,Business Information Systems,IT CARLOW,330.0,350.0,True,False,False,False,False
CR330,Herbal Sciences,IT CARLOW,245.0,335.0,True,False,False,False,False
