,Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
0,AC120,International Business,American College,209.0,280.0,True,False,False,False,False
1,AC137,Liberal Arts,American College,252.0,270.0,True,False,False,False,False
2,AD101,"First Year Art & Design (Common Entry,portfolio)",National College of Art and Design,,,True,True,False,False,False
3,AD102,Graphic Design and Moving Image Design (portfolio),National College of Art and Design,,,True,True,False,False,False
4,AD103,Textile & Surface Design and Jewellery & Objects (portfolio),National College of Art and Design,,,True,True,False,False,False
5,AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",National College of Art and Design,,,True,True,False,False,False
6,AD204,Fine Art (portfolio),National College of Art and Design,,,True,True,False,False,False
7,AD211,Fashion Design (portfolio),National College of Art and Design,,,True,True,False,False,False
8,AD212,Product Design (portfolio),National College of Art and Design,,,True,True,False,False,False
9,AD215,Visual Culture,National College of Art and Design,320.0,389.0,True,False,False,False,False
10,AD217,Illustration (portfolio),National College of Art and Design,,,True,True,False,False,False
11,AD222,Interaction Design (portfolio),National College of Art and Design,,,True,True,False,False,False
12,AL600,Software Design,Athlone Institute of Technology,104.0,279.0,False,False,False,False,False
13,AL601,Computer Engineering,Athlone Institute of Technology,112.0,192.0,False,False,False,False,False
14,AL602,Mechanical Engineering,Athlone Institute of Technology,260.0,424.0,False,False,False,False,False
15,AL604,Civil Engineering,Athlone Institute of Technology,,244.0,False,False,False,True,False
16,AL605,Music and Instrument Technology,Athlone Institute of Technology,154.0,306.0,False,False,False,False,False
17,AL630,Pharmacy Technician,Athlone Institute of Technology,295.0,379.0,False,False,False,False,False
18,AL631,Dental Nursing,Athlone Institute of Technology,298.0,388.0,False,False,False,False,False
19,AL632,Applied Science,Athlone Institute of Technology,234.0,434.0,False,False,False,False,False
20,AL650,Business,Athlone Institute of Technology,207.0,326.0,False,False,False,False,False
21,AL660,Culinary Arts,Athlone Institute of Technology,112.0,270.0,False,False,False,False,False
22,AL661,Bar Supervision,Athlone Institute of Technology,101.0,241.0,False,False,False,False,False
23,AL663,Business (Sport and Recreation),Athlone Institute of Technology,120.0,262.0,False,False,False,False,False
24,AL701,Computer Engineering with Network Infrastructure,Athlone Institute of Technology,216.0,337.0,False,False,False,False,False
25,AL702,Software Design with Artificial Intelligence for Cloud Computing,Athlone Institute of Technology,214.0,338.0,False,False,False,False,False
26,AL703,Software Design with Virtual Reality and Gaming,Athlone Institute of Technology,224.0,337.0,False,False,False,False,False
27,AL704,Computer Engineering,Athlone Institute of Technology,204.0,403.0,False,False,False,False,False
28,AL705,Software Design with Mobile Apps and Connected Devices,Athlone Institute of Technology,216.0,337.0,False,False,False,False,False
29,AL710,Mechanical Engineering,Athlone Institute of Technology,223.0,337.0,False,False,False,False,False
30,AL711,Mechanical Engineering and Renewable Energy,Athlone Institute of Technology,228.0,369.0,False,False,False,False,False
31,AL712,Automation and Robotics,Athlone Institute of Technology,252.0,379.0,False,False,False,False,False
32,AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),Athlone Institute of Technology,218.0,402.0,False,False,False,False,False
33,AL718,Music and Sound Engineering,Athlone Institute of Technology,216.0,339.0,False,False,False,False,False
34,AL721,Civil Engineering,Athlone Institute of Technology,233.0,357.0,False,False,False,False,False
35,AL730,Biotechnology,Athlone Institute of Technology,250.0,402.0,False,False,False,False,False
36,AL731,Veterinary Nursing,Athlone Institute of Technology,400.0,456.0,False,False,False,False,False
