,Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
0,AL031,Computer and Software Engineering,ATHLONE IT,275.0,315.0,True,False,False,False,False
1,AL033,Toxicology,ATHLONE IT,255.0,330.0,True,False,False,False,False
2,AL035,Construction Technology and Management,ATHLONE IT,290.0,345.0,True,False,False,False,False
3,AL050,Business Studies,ATHLONE IT,300.0,340.0,True,False,False,False,False
4,AL051,Accountancy,ATHLONE IT,300.0,340.0,True,False,False,False,False
5,AL052,Design (Visual Communications),ATHLONE IT,640.0,815.0,True,True,False,False,False
6,AL053,Pharmaceutical Sciences,ATHLONE IT,300.0,345.0,True,False,False,False,False
7,AL054,Social Care Practice,ATHLONE IT,340.0,355.0,True,False,False,False,False
8,AL055,Languages & Business Administration,ATHLONE IT,260.0,335.0,True,False,False,False,False
9,AL110,General Nursing,ATHLONE IT,360.0,380.0,True,False,True,False,False
10,AL111,Mature Applicants General Nursing,ATHLONE IT,168.0,174.0,True,True,False,False,False
11,AL112,Psychiatric Nursing,ATHLONE IT,325.0,345.0,True,False,False,False,False
12,AL113,Mature Applicants Psychiatric Nursing,ATHLONE IT,151.0,158.0,True,True,False,False,False
13,PC410,Humanities,CARLOW COLLEGE,300.0,325.0,True,False,False,False,False
14,CW046,Computer Networking,IT CARLOW,,,True,False,False,False,False
15,CW105,Early Childhood Studies,IT CARLOW,330.0,350.0,True,False,False,False,False
16,CW120,Early Childhood Studies (WEXFORD),IT CARLOW,290.0,320.0,True,False,False,False,False
17,CW122,Accounting,IT CARLOW,275.0,320.0,True,False,False,False,False
18,CW123,Communications and Public Relations,IT CARLOW,325.0,360.0,True,False,False,False,False
19,CW131,Computer Games Development,IT CARLOW,340.0,380.0,True,False,False,False,False
20,CR105,Chemical & Process Engineering,CORK IT,310.0,440.0,True,False,False,False,False
21,CR106,Software Development,CORK IT,245.0,355.0,True,False,False,False,False
22,CR107,Electronic Engineering,CORK IT,230.0,370.0,True,False,False,False,False
23,CR108,Mechanical Engineering,CORK IT,300.0,390.0,True,False,False,False,False
24,CR109,Structural Engineering,CORK IT,450.0,470.0,True,False,False,False,False
25,CR111,Computerised Instrument Systems,CORK IT,210.0,305.0,True,False,False,False,False
26,CR112,Multimedia,CORK IT,395.0,425.0,True,False,False,False,False
27,CR114,Software Development with French,CORK IT,,,True,False,False,False,False
28,CR115,Software Development with German,CORK IT,,,True,False,False,False,False
29,CR116,Software Development and Computer Networking,CORK IT,260.0,345.0,True,False,False,False,False
30,CR121,Music at Cork School of Music,CORK IT,745.0,940.0,True,False,True,False,False
31,CR150,Business Information Systems,CORK IT,335.0,355.0,True,False,False,False,False
32,DB512,Business Studies,DUBLIN BUSINESS SCHOOL,210.0,320.0,True,False,False,False,False
33,DB514,Business Studies (Law),DUBLIN BUSINESS SCHOOL,220.0,310.0,True,False,False,False,False
34,DB515,Business Studies (Human Resource Management),DUBLIN BUSINESS SCHOOL,200.0,305.0,True,False,False,False,False
35,DB516,Business Studies (Financial Services),DUBLIN BUSINESS SCHOOL,235.0,320.0,True,False,False,False,False
36,DB517,Business Studies (Event Management),DUBLIN BUSINESS SCHOOL,210.0,320.0,True,False,False,False,False
37,DB518,Business Studies (Information Systems),DUBLIN BUSINESS SCHOOL,275.0,320.0,True,False,False,False,False
38,DB521,Accounting and Finance,DUBLIN BUSINESS SCHOOL,185.0,315.0,True,False,False,False,False
39,DB531,Marketing,DUBLIN BUSINESS SCHOOL,230.0,305.0,True,False,False,False,False
40,DB551,"Arts (was: Anthropology, now: Media & Cultural Studies )",DUBLIN BUSINESS SCHOOL,225.0,345.0,True,False,False,False,False
41,DB552,"Arts (was: Literature & Drama, now: Film, Literature & Drama)",DUBLIN BUSINESS SCHOOL,215.0,300.0,True,False,False,False,False
42,DB553,"Arts (was: Film Studies, now: Film, Literature & Drama)",DUBLIN BUSINESS SCHOOL,205.0,320.0,True,False,False,False,False
43,DB561,Arts (General),DUBLIN BUSINESS SCHOOL,200.0,315.0,True,False,False,False,False
44,DB562,Arts (Psychology),DUBLIN BUSINESS SCHOOL,205.0,320.0,True,False,False,False,False
45,DB564,"Arts (was: Media Studies, now: Media & Cultural Studies )",DUBLIN BUSINESS SCHOOL,215.0,325.0,True,False,False,False,False
46,DB565,Arts (Journalism),DUBLIN BUSINESS SCHOOL,230.0,320.0,True,False,False,False,False
47,FR001,B. Ed.,FROEBEL COLLEGE,445.0,450.0,True,False,True,False,False
48,FR002,B. Ed. - Gaeltacht Applicants,FROEBEL COLLEGE,405.0,410.0,True,False,False,False,False
49,PT011,Philosophy,MILLTOWN INSTITUTE,215.0,320.0,True,False,False,False,False
50,PT012,Theology and Pastoral Care,MILLTOWN INSTITUTE,250.0,300.0,True,False,False,False,False
51,PT013,Philosophy and Theology,MILLTOWN INSTITUTE,215.0,300.0,True,False,False,False,False
52,PT014,Theology and Anthropology,MILLTOWN INSTITUTE,270.0,300.0,True,False,False,False,False
53,AD001,Art and Design Education,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False
54,AD012,Industrial Design,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False
55,NC001,Accounting and Human Resource Management,NATIONAL COLLEGE of IRELAND,335.0,370.0,True,False,False,False,False
56,NC003,Software Systems,NATIONAL COLLEGE of IRELAND,260.0,300.0,True,False,False,False,False
57,NC004,Information Systems,NATIONAL COLLEGE of IRELAND,250.0,320.0,True,False,False,False,False
58,NC011,Accounting and Human Resource Management - ABP,NATIONAL COLLEGE of IRELAND,295.0,320.0,True,False,False,False,False
