Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
AL032,Software Design (Games Development),ATHLONE IT,265.0,315.0,True,False,False,False,True
AL033,Toxicology,ATHLONE IT,280.0,345.0,True,False,False,False,False
AL034,Software Design (Web Development),ATHLONE IT,270.0,300.0,True,False,False,False,False
AL035,Construction Technology and Management,ATHLONE IT,265.0,310.0,True,False,False,False,False
AL050,Business,ATHLONE IT,275.0,320.0,True,False,False,False,False
AL051,Accounting,ATHLONE IT,250.0,325.0,True,False,False,False,False
AL052,Design (Visual Communications),ATHLONE IT,635.0,820.0,True,True,False,False,False
AL053,Pharmaceutical Sciences,ATHLONE IT,,,True,False,False,False,False
AL054,Social Care Practice,ATHLONE IT,340.0,360.0,True,False,False,False,False
AL057,Business and Law,ATHLONE IT,250.0,330.0,True,False,False,False,False
AL058,Accounting and Law,ATHLONE IT,255.0,335.0,True,False,False,False,True
AL110,General Nursing,ATHLONE IT,395.0,425.0,True,False,True,False,False
AL111,Mature Applicants General Nursing,ATHLONE IT,172.0,176.0,True,True,False,False,False
AL112,Psychiatric Nursing,ATHLONE IT,370.0,395.0,True,False,True,False,False
AL113,Mature Applicants Psychiatric Nursing,ATHLONE IT,162.0,166.0,True,True,True,False,False
PC405,Citizenship and Community Studies,CARLOW COLLEGE,240.0,300.0,True,False,False,False,False
PC410,Humanities,CARLOW COLLEGE,280.0,315.0,True,False,False,False,False
PC411,English & History,CARLOW COLLEGE,330.0,350.0,True,False,False,False,False
CW018,Business (Wexford),IT CARLOW,290.0,320.0,True,False,False,False,False
CW028,Early Childhood Education and Care (Wexford),IT CARLOW,300.0,325.0,True,False,False,False,False
CW038,Art (Wexford),IT CARLOW,700.0,700.0,True,True,False,False,False
CW058,Sustainable Architectural Technology (Wexford),IT CARLOW,310.0,330.0,True,False,False,False,False
CW068,Applied Social Studies - Social Care (Wexford),IT CARLOW,325.0,335.0,True,False,False,False,False
CW078,Economic and Social Studies (Wexford),IT CARLOW,295.0,305.0,True,False,False,False,False
CW088,Visual Communications and Design (Wexford),IT CARLOW,345.0,360.0,True,False,False,False,False
CW108,Biosciences with Bioforensics OR Biopharmaceuticals,IT CARLOW,295.0,340.0,True,False,False,False,False
CW168,Environmental Science,IT CARLOW,310.0,360.0,True,False,False,False,False
CW178,Sport Science,IT CARLOW,410.0,420.0,True,False,False,False,False
CW188,Sports Rehabilitation and Athletic Therapy,IT CARLOW,440.0,460.0,True,False,False,False,False
CW208,Computer Games Development,IT CARLOW,305.0,355.0,True,False,False,False,False
CW238,Software Development,IT CARLOW,285.0,320.0,True,False,False,False,False
CW248,Computing Systems Management,IT CARLOW,290.0,330.0,True,False,False,False,False
CW438,Construction - Quantity Surveying,IT CARLOW,300.0,325.0,True,False,False,False,False
CW448,Construction - Facilities and Energy Management,IT CARLOW,300.0,335.0,True,False,False,False,False
CW708,Law,IT CARLOW,320.0,350.0,True,False,False,False,False
CW728,Product Design Innovation,IT CARLOW,300.0,330.0,True,False,False,False,False
CW748,Early Childhood Education and Care,IT CARLOW,335.0,350.0,True,False,False,False,False
CW758,Applied Social Studies - Social Care,IT CARLOW,350.0,360.0,True,False,False,False,False
CW768,Social and Community Studies,IT CARLOW,325.0,340.0,True,False,False,False,False
CW808,Communications and Public Relations,IT CARLOW,290.0,320.0,True,False,False,False,False
CW818,Accounting,IT CARLOW,310.0,360.0,True,False,False,False,False
CW838,Business - Marketing,IT CARLOW,280.0,315.0,True,False,False,False,False
CW908,Business,IT CARLOW,300.0,330.0,True,False,False,False,False
CW928,Business - Human Resource Management,IT CARLOW,300.0,315.0,True,False,False,False,False
CW938,Business with Law,IT CARLOW,300.0,340.0,True,False,False,False,False
CR105,Chemical and Biopharmaceutical Engineering,CORK IT,360.0,450.0,True,False,False,False,False
CR106,Software Development,CORK IT,295.0,340.0,True,False,False,False,False
CR108,Mechanical Engineering,CORK IT,370.0,425.0,True,False,False,False,False
CR109,Structural Engineering,CORK IT,275.0,345.0,True,False,False,False,False
CR112,Multimedia,CORK IT,375.0,420.0,True,False,False,False,False
CR116,Software Development and Computer Networking,CORK IT,300.0,360.0,True,False,False,False,False
CR121,Music at CIT - Cork School of Music,CORK IT,855.0,100.0,True,False,True,False,False
CR150,Business Information Systems,CORK IT,310.0,335.0,True,False,False,False,False
CR220,Fine Art and Ceramic Design at CIT Crawford College,CORK IT,750.0,895.0,True,True,False,False,False
CR305,Science (Level 8 -  Common Entry),CORK IT,320.0,355.0,True,False,False,False,False
CR310,IT Management,CORK IT,300.0,335.0,True,False,False,False,False
CR312,Web Development,CORK IT,300.0,365.0,True,False,False,False,False
CR320,Biomedical Science - Joint CIT and UCC programme,CORK IT,490.0,505.0,True,False,False,False,False
CR325,Pharmaceutical Biotechnology,CORK IT,320.0,370.0,True,False,False,False,False
CR330,Herbal Science,CORK IT,300.0,330.0,True,False,False,False,False
CR333,Nutrition and Health Science,CORK IT,330.0,365.0,True,False,False,False,False
CR340,Analytical Chemistry with Quality Assurance,CORK IT,235.0,320.0,True,False,False,False,False
CR360,Instrument Engineering,CORK IT,315.0,345.0,True,False,False,False,False
CR365,Environmental Science and Sustainable Technology,CORK IT,330.0,355.0,True,False,False,False,False
