Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
AL801,Software Design for Virtual Reality and Gaming    ,Athlone Institute of Technology,300.0,,True,False,False,False,False
AL802,Software Design in Artificial Intelligence for Clo,Athlone Institute of Technology,313.0,,True,False,False,False,False
AL803,Software Design for Mobile Apps and Connected Devi,Athlone Institute of Technology,350.0,,True,False,False,False,False
AL805,Computer Engineering for Network Infrastructure   ,Athlone Institute of Technology,321.0,,True,False,False,False,False
AL810,Quantity Surveying                                ,Athlone Institute of Technology,328.0,,True,False,False,False,False
AL811,Civil Engineering                                 ,Athlone Institute of Technology,,,True,False,False,False,False
AL820,Mechanical and Polymer Engineering                ,Athlone Institute of Technology,327.0,,True,False,False,False,False
AL830,General Nursing                                   ,Athlone Institute of Technology,444.0,,True,False,True,False,False
AL832,Mental Health Nursing                             ,Athlone Institute of Technology,431.0,,True,False,True,False,False
AL835,Pharmacology                                      ,Athlone Institute of Technology,356.0,,True,False,False,False,False
AL836,Nutrition and Health Science                      ,Athlone Institute of Technology,346.0,,True,False,False,False,False
AL837,Sports Science with Exercise Physiology           ,Athlone Institute of Technology,357.0,,True,False,False,False,False
AL838,Biotechnology                                     ,Athlone Institute of Technology,324.0,,True,False,False,False,False
AL839,Microbiology                                      ,Athlone Institute of Technology,325.0,,True,False,False,False,False
AL840,Pharmaceutical Sciences                           ,Athlone Institute of Technology,346.0,,True,False,False,False,False
AL841,Athletic and Rehabilitation Therapy               ,Athlone Institute of Technology,476.0,,True,False,True,False,False
AL842,Bioveterinary Science                             ,Athlone Institute of Technology,338.0,,True,False,False,False,False
AL843,Physical Activity and Health Science              ,Athlone Institute of Technology,306.0,,True,False,False,False,False
AL849,Culinary Entrepreneurship                         ,Athlone Institute of Technology,297.0,,True,False,False,False,False
AL850,Business                                          ,Athlone Institute of Technology,309.0,,True,False,False,False,False
AL851,Business and Law                                  ,Athlone Institute of Technology,302.0,,True,False,False,False,False
AL852,Accounting                                        ,Athlone Institute of Technology,336.0,,True,False,False,False,False
AL854,Sport Management (with international placement)   ,Athlone Institute of Technology,299.0,,True,False,False,False,False
AL855,Hospitality Management (with international placeme,Athlone Institute of Technology,309.0,,True,False,False,False,False
AL857,Digital Marketing                                 ,Athlone Institute of Technology,304.0,,True,False,False,False,False
AL859,International Business                            ,Athlone Institute of Technology,308.0,,True,False,False,False,False
AL860,Social Care Practice                              ,Athlone Institute of Technology,301.0,,True,False,False,False,False
AL861,Animation and Illustration (portfolio)            ,Athlone Institute of Technology,575.0,,True,True,False,False,False
AL863,Graphic and Digital Design (portfolio)            ,Athlone Institute of Technology,747.0,,True,True,False,False,False
AL864,Early Years Care and Education                    ,Athlone Institute of Technology,306.0,,True,False,False,False,False
AL870,Applied Psychology                                ,Athlone Institute of Technology,467.0,,True,False,True,False,False
CW018,Business (options)                                ,Institute of Technology  Carlow,307.0,,True,False,False,False,False
CW028,Early Childhood Education and Care                ,Institute of Technology  Carlow,260.0,,True,False,False,False,False
CW038,Art (portfolio)                                   ,Institute of Technology  Carlow,700.0,,True,True,False,False,False
