,Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
0,AL032,Software Design (Games Development),ATHLONE IT,230.0,315.0,True,False,False,False,False
1,AL033,Toxicology,ATHLONE IT,275.0,340.0,True,False,False,False,False
2,AL034,Software Design (Web Development),ATHLONE IT,235.0,310.0,True,False,False,False,False
3,AL035,Construction Technology and Management,ATHLONE IT,235.0,300.0,True,False,False,False,False
4,AL050,Business,ATHLONE IT,230.0,320.0,True,False,False,False,False
5,AL051,Accounting,ATHLONE IT,235.0,325.0,True,False,False,False,False
6,AL052,Design (Visual Communications),ATHLONE IT,560.0,795.0,True,True,False,False,False
7,AL053,Pharmaceutical Sciences,ATHLONE IT,,,True,False,False,False,False
8,AL054,Social Care Practice,ATHLONE IT,325.0,350.0,True,False,False,False,False
9,AL110,General Nursing,ATHLONE IT,395.0,425.0,True,False,True,False,False
10,AL111,Mature Applicants General Nursing,ATHLONE IT,166.0,170.0,True,True,False,False,False
11,AL112,Psychiatric Nursing,ATHLONE IT,370.0,375.0,True,False,False,False,False
12,AL113,Mature Applicants Psychiatric Nursing,ATHLONE IT,160.0,162.0,True,True,True,False,False
13,PC405,Citizenship & Community Studies,CARLOW COLLEGE,215.0,300.0,True,False,False,False,False
14,PC410,Humanities,CARLOW COLLEGE,285.0,325.0,True,False,False,False,False
15,PC411,English and History,CARLOW COLLEGE,290.0,330.0,True,False,False,False,False
16,PC412,English and Spanish,CARLOW COLLEGE,,,True,False,False,False,False
17,CW018,Business,IT CARLOW,295.0,340.0,True,False,False,False,False
18,CW028,Early Childhood Education and Care,IT CARLOW,300.0,325.0,True,False,False,False,False
19,CW038,Art Portfolio,IT CARLOW,700.0,700.0,True,True,False,False,False
20,CW058,Sustainable Architectural Technology,IT CARLOW,330.0,370.0,True,False,False,False,False
21,CW108,Biosciences with Bioforensics,IT CARLOW,300.0,340.0,True,False,False,False,False
22,CW118,Biosciences with Biopharmaceuticals,IT CARLOW,325.0,345.0,True,False,False,False,False
23,CW208,Computer Games Development,IT CARLOW,300.0,335.0,True,False,False,False,False
24,CW238,Software Development,IT CARLOW,300.0,325.0,True,False,False,False,False
25,CW248,Computing Systems Management,IT CARLOW,300.0,320.0,True,False,False,False,False
26,CW438,Construction - Quantity Surveying,IT CARLOW,310.0,350.0,True,False,False,False,False
27,CW448,Construction - Facilities Management,IT CARLOW,310.0,340.0,True,False,False,False,False
28,CW708,Law,IT CARLOW,300.0,335.0,True,False,False,False,False
29,CW728,Product Design Innovation,IT CARLOW,270.0,310.0,True,False,False,False,False
30,CW748,Early Childhood Education and Care,IT CARLOW,310.0,340.0,True,False,False,False,False
31,CW808,Communications and Public Relations,IT CARLOW,295.0,345.0,True,False,False,False,False
32,CW818,Accounting,IT CARLOW,285.0,350.0,True,False,False,False,False
33,CW828,Business - International Business,IT CARLOW,305.0,335.0,True,False,False,False,False
34,CW838,Business - Marketing,IT CARLOW,270.0,305.0,True,False,False,False,False
35,CW908,Business - Management,IT CARLOW,280.0,330.0,True,False,False,False,False
36,CW928,Business - Human Resource Management,IT CARLOW,265.0,295.0,True,False,False,False,False
37,CW938,Business with Law,IT CARLOW,290.0,325.0,True,False,False,False,False
38,CR105,Chemical and Biopharmaceutical Engineering,CORK IT,375.0,450.0,True,False,False,False,False
39,CR106,Software Development,CORK IT,275.0,320.0,True,False,False,False,False
40,CR108,Mechanical Engineering,CORK IT,330.0,400.0,True,False,False,False,False
41,CR109,Structural Engineering,CORK IT,410.0,450.0,True,False,False,False,False
42,CR111,Computerised Instrument Systems,CORK IT,,,True,False,False,False,False
43,CR112,Multimedia,CORK IT,325.0,350.0,True,False,False,False,False
44,CR116,Software Development and Computer Networking,CORK IT,255.0,315.0,True,False,False,False,False
45,CR121,Music at CIT - Cork School of Music,CORK IT,780.0,950.0,True,False,True,False,False
46,CR150,Business Information Systems,CORK IT,310.0,340.0,True,False,False,False,False
47,CR220,Fine Art and Ceramic Design at CIT Crawford College,CORK IT,780.0,865.0,True,True,False,False,False
48,CR305,Science (Level 8 -  Common Entry),CORK IT,295.0,335.0,True,False,False,False,False
49,CR310,IT Management,CORK IT,295.0,325.0,True,False,False,False,False
50,CR320,Biomedical Science - Joint CIT and UCC programme,CORK IT,410.0,450.0,True,False,False,False,False
51,CR325,Pharmaceutical Biotechnology,CORK IT,300.0,340.0,True,False,False,False,False
52,CR330,Herbal Science,CORK IT,225.0,325.0,True,False,False,False,False
53,CR333,Nutrition and Health Science,CORK IT,275.0,345.0,True,False,False,False,False
54,CR340,Analytical Chemistry with Quality Assurance,CORK IT,285.0,330.0,True,False,False,False,False
55,CR360,Instrument Engineering,CORK IT,310.0,340.0,True,False,False,False,False
56,CR400,Accounting,CORK IT,360.0,400.0,True,False,False,False,False
57,CR420,Marketing,CORK IT,250.0,315.0,True,False,False,False,False
58,CR500,Common Engineering Honours Degree Entry,CORK IT,310.0,410.0,True,False,False,False,False
59,CR510,Sustainable Energy,CORK IT,380.0,410.0,True,False,False,False,False
60,CR520,Biomedical Engineering,CORK IT,350.0,455.0,True,False,False,False,False
61,CR560,Architectural Technology,CORK IT,370.0,400.0,True,False,False,False,False
62,CR565,Interior Architecture,CORK IT,295.0,345.0,True,False,False,False,False
63,CR570,Quantity Surveying,CORK IT,245.0,325.0,True,False,False,False,False
64,CR572,Construction Management,CORK IT,260.0,325.0,True,False,False,False,False
65,CR590,Electronic Systems Engineering,CORK IT,290.0,350.0,True,False,False,False,False
66,CR600,Visual Communications,CORK IT,605.0,755.0,True,True,False,False,False
67,CR660,Tourism,CORK IT,255.0,310.0,True,False,False,False,False
68,CK101,Arts,UNIVERSITY COLLEGE CORK,360.0,405.0,True,False,False,False,False
69,CK102,Social Science,UNIVERSITY COLLEGE CORK,370.0,395.0,True,False,False,False,False
70,CK103,Music,UNIVERSITY COLLEGE CORK,370.0,440.0,True,True,False,False,False
71,CK104,Arts with Music,UNIVERSITY COLLEGE CORK,465.0,485.0,True,True,False,False,False
72,CK106,Applied Psychology,UNIVERSITY COLLEGE CORK,505.0,525.0,True,False,False,False,False
73,CK111,Early Childhood Studies,UNIVERSITY COLLEGE CORK,370.0,405.0,True,False,False,False,False
74,CK112,Drama and Theatre Studies,UNIVERSITY COLLEGE CORK,425.0,470.0,True,True,False,False,False
75,CK114,Social Science (Youth & Community Work) - Mature App's only,UNIVERSITY COLLEGE CORK,,,True,True,False,False,False
76,CK115,Social Work - Mature Applicants only,UNIVERSITY COLLEGE CORK,,,True,True,False,False,False
77,CK116,Sports Studies and Physical Education,UNIVERSITY COLLEGE CORK,480.0,490.0,True,False,False,False,False
78,CK201,Commerce,UNIVERSITY COLLEGE CORK,450.0,470.0,True,False,False,False,False
79,CK202,Accounting,UNIVERSITY COLLEGE CORK,475.0,510.0,True,False,True,False,False
80,CK203,Business Information Systems,UNIVERSITY COLLEGE CORK,380.0,420.0,True,False,False,False,False
81,CK204,Finance,UNIVERSITY COLLEGE CORK,445.0,480.0,True,False,False,False,False
82,CK205,Commerce (International) with French,UNIVERSITY COLLEGE CORK,455.0,490.0,True,False,False,False,False
83,CK206,Commerce (International) with German,UNIVERSITY COLLEGE CORK,405.0,435.0,True,False,False,False,False
84,CK207,Commerce (International) with Italian,UNIVERSITY COLLEGE CORK,320.0,425.0,True,False,False,False,False
85,CK208,Commerce (International) with Hispanic Studies,UNIVERSITY COLLEGE CORK,415.0,445.0,True,False,False,False,False
86,CK209,Commerce (International) with Irish,UNIVERSITY COLLEGE CORK,455.0,505.0,True,False,False,False,False
87,CK210,Government,UNIVERSITY COLLEGE CORK,345.0,390.0,True,False,False,False,False
88,CK211,Commerce (International) with Chinese Studies,UNIVERSITY COLLEGE CORK,305.0,410.0,True,False,False,False,False
89,CK301,Law,UNIVERSITY COLLEGE CORK,485.0,500.0,True,False,False,False,False
90,CK302,Law and French,UNIVERSITY COLLEGE CORK,510.0,535.0,True,False,False,False,False
91,CK303,Law and German,UNIVERSITY COLLEGE CORK,505.0,535.0,True,False,False,False,False
92,CK304,Law and Irish,UNIVERSITY COLLEGE CORK,525.0,545.0,True,False,True,False,False
93,CK305,Law (Clinical),UNIVERSITY COLLEGE CORK,515.0,525.0,True,False,True,False,False
94,CK306,Law (International),UNIVERSITY COLLEGE CORK,540.0,550.0,True,False,False,False,False
95,CK401,Computer Science,UNIVERSITY COLLEGE CORK,300.0,350.0,True,False,False,False,False
96,CK402,Biological and Chemical Sciences,UNIVERSITY COLLEGE CORK,350.0,445.0,True,False,False,False,False
97,CK404,Environmental and Earth System Sciences,UNIVERSITY COLLEGE CORK,400.0,440.0,True,False,False,False,False
98,CK405,Genetics,UNIVERSITY COLLEGE CORK,405.0,460.0,True,False,False,False,False
99,CK406,Chemical Sciences,UNIVERSITY COLLEGE CORK,330.0,435.0,True,False,False,False,False
100,CK407,Mathematical Sciences,UNIVERSITY COLLEGE CORK,515.0,550.0,True,False,False,False,False
101,CK408,Physics and Astrophysics,UNIVERSITY COLLEGE CORK,465.0,500.0,True,False,False,False,False
102,CK502,Food Marketing and Entrepreneurship,UNIVERSITY COLLEGE CORK,400.0,425.0,True,False,False,False,False
103,CK504,Nutritional Sciences,UNIVERSITY COLLEGE CORK,465.0,490.0,True,False,False,False,False
104,CK505,Food Science,UNIVERSITY COLLEGE CORK,335.0,375.0,True,False,False,False,False
105,CK506,International Development and Food Policy,UNIVERSITY COLLEGE CORK,355.0,405.0,True,False,False,False,False
106,CK601,Process and Chemical Engineering,UNIVERSITY COLLEGE CORK,475.0,510.0,True,False,False,False,False
107,CK602,Civil and Environmental Engineering,UNIVERSITY COLLEGE CORK,485.0,510.0,True,False,False,False,False
108,CK603,Energy Engineering,UNIVERSITY COLLEGE CORK,520.0,550.0,True,False,False,False,False
109,CK605,Electrical and Electronic Engineering,UNIVERSITY COLLEGE CORK,355.0,470.0,True,False,False,False,False
110,CK606,Architecture - Joint UCC and CIT programme,UNIVERSITY COLLEGE CORK,450.0,485.0,True,False,False,False,False
111,CK701,Medicine - (Undergraduate Entry),UNIVERSITY COLLEGE CORK,715.0,728.0,True,True,False,False,False
112,CK702,Dentistry,UNIVERSITY COLLEGE CORK,575.0,580.0,True,False,True,False,False
113,CK703,Pharmacy,UNIVERSITY COLLEGE CORK,545.0,565.0,True,False,False,False,False
114,CK704,Occupational Therapy,UNIVERSITY COLLEGE CORK,510.0,525.0,True,False,False,False,False
115,CK705,Speech and Language Therapy,UNIVERSITY COLLEGE CORK,495.0,520.0,True,False,False,False,False
116,CK706,Public Health and Health Promotion,UNIVERSITY COLLEGE CORK,385.0,425.0,True,False,False,False,False
117,CK710,General Nursing,UNIVERSITY COLLEGE CORK,435.0,455.0,True,False,False,False,False
118,CK711,Mature Applicants General Nursing,UNIVERSITY COLLEGE CORK,171.0,174.0,True,True,False,False,False
119,CK712,Children's and General Nursing (Integrated),UNIVERSITY COLLEGE CORK,495.0,520.0,True,False,True,False,False
120,CK713,Mature Applicants Children's and General Nursing (Integrated),UNIVERSITY COLLEGE CORK,174.0,174.0,True,True,False,False,False
121,CK720,Psychiatric Nursing,UNIVERSITY COLLEGE CORK,410.0,420.0,True,False,False,False,False
122,CK721,Mature Applicants Psychiatric Nursing,UNIVERSITY COLLEGE CORK,165.0,170.0,True,True,False,False,False
123,CK730,Intellectual Disability Nursing,UNIVERSITY COLLEGE CORK,425.0,430.0,True,False,False,False,False
124,CK731,Mature Applicants Intellectual Disability Nursing,UNIVERSITY COLLEGE CORK,157.0,168.0,True,True,True,False,False
125,CK740,Midwifery,UNIVERSITY COLLEGE CORK,435.0,455.0,True,False,False,False,False
126,CK741,Mature Applicants Midwifery,UNIVERSITY COLLEGE CORK,177.0,180.0,True,True,False,False,False
127,CK791,Medicine - (Graduate Entry),UNIVERSITY COLLEGE CORK,59.0,60.0,True,True,False,False,False
128,AH001,Theology and Philosophy,ALL HALLOWS,175.0,290.0,True,False,False,False,False
129,AH002,Theology and Psychology,ALL HALLOWS,340.0,370.0,True,False,True,False,False
