,Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
0,AL801,Software Design (Game Development or Cloud Computing),Athlone Institute of Technology,300.0,340.0,True,False,False,False,False
1,AL810,Quantity Surveying,Athlone Institute of Technology,315.0,355.0,True,False,False,False,False
2,AL820,Mechanical and Polymer Engineering,Athlone Institute of Technology,295.0,340.0,True,False,False,False,False
3,AL830,General Nursing,Athlone Institute of Technology,425.0,440.0,True,False,True,False,False
4,AL831,Mature Applicants General Nursing,Athlone Institute of Technology,181.0,185.0,True,True,False,False,False
5,AL832,Psychiatric Nursing,Athlone Institute of Technology,375.0,405.0,True,False,True,False,False
6,AL833,Mature Applicants Psychiatric Nursing,Athlone Institute of Technology,169.0,173.0,True,True,False,False,False
7,AL836,Health Science with Nutrition,Athlone Institute of Technology,350.0,380.0,True,False,False,False,False
8,AL837,Sports Science with Exercise Physiology,Athlone Institute of Technology,360.0,385.0,True,False,False,False,False
9,AL838,Biotechnology,Athlone Institute of Technology,270.0,345.0,True,False,False,False,False
10,AL840,Pharmaceutical Science,Athlone Institute of Technology,255.0,290.0,True,False,False,False,False
11,AL841,Athletic and Rehabilitation Therapy,Athlone Institute of Technology,410.0,430.0,True,False,False,False,False
12,AL842,Bioveterinary Science,Athlone Institute of Technology,325.0,370.0,True,False,False,False,False
13,AL843,Physical Activity and Health,Athlone Institute of Technology,345.0,390.0,True,False,False,False,False
14,AL850,Business,Athlone Institute of Technology,300.0,365.0,True,False,False,False,False
15,AL851,Business and Law,Athlone Institute of Technology,300.0,345.0,True,False,False,False,False
16,AL852,Accounting (with optional placement),Athlone Institute of Technology,290.0,335.0,True,False,False,False,False
17,AL854,Business Psychology,Athlone Institute of Technology,305.0,340.0,True,False,False,False,False
18,AL860,Social Care Practice,Athlone Institute of Technology,300.0,330.0,True,False,False,False,False
19,AL861,Animation and Illustration (Portfolio),Athlone Institute of Technology,565.0,835.0,True,True,False,False,False
20,PC405,Citizenship and Community Studies,Carlow College,225.0,300.0,True,False,False,False,False
21,PC410,Humanities,Carlow College,280.0,325.0,True,False,False,False,False
22,PC411,English and History,Carlow College,300.0,333.0,True,False,False,False,False
23,CW008,Applied Humanities (Wexford),"Institute of Technology, Carlow",,,True,True,False,False,False
24,CW018,Business (Wexford),"Institute of Technology, Carlow",255.0,345.0,True,False,False,False,False
25,CW028,Early Childhood Education and Care (Wexford),"Institute of Technology, Carlow",265.0,315.0,True,False,False,False,False
26,CW038,Art (Wexford - Portfolio),"Institute of Technology, Carlow",700.0,700.0,True,True,False,False,False
27,CW068,Applied Social Studies (Professional Social Care - Wexford),"Institute of Technology, Carlow",270.0,355.0,True,False,False,False,False
28,CW078,Sustainable Farm Management and Agribusiness (Wexford),"Institute of Technology, Carlow",320.0,360.0,True,False,False,False,False
29,CW088,Visual Communications and Design (Wexford),"Institute of Technology, Carlow",265.0,300.0,True,False,False,False,False
30,CW098,Culture and Heritage Studies (Wexford),"Institute of Technology, Carlow",310.0,310.0,True,False,False,False,False
31,CW108,Biosciences with Bioforensics or Biopharmaceuticals,"Institute of Technology, Carlow",295.0,375.0,True,False,False,False,False
32,CW168,Environmental Science,"Institute of Technology, Carlow",290.0,300.0,True,False,False,False,False
33,CW178,Sport Science,"Institute of Technology, Carlow",410.0,430.0,True,False,False,False,False
34,CW188,Sports Rehabilitation and Athletic Therapy,"Institute of Technology, Carlow",445.0,460.0,True,False,False,False,False
35,CW198,Strength and Conditioning,"Institute of Technology, Carlow",400.0,410.0,True,False,False,False,False
36,CW208,Computer Games Development,"Institute of Technology, Carlow",290.0,355.0,True,False,False,False,False
37,CW238,Software Development,"Institute of Technology, Carlow",290.0,335.0,True,False,False,False,False
38,CW248,Computer Systems Management,"Institute of Technology, Carlow",300.0,340.0,True,False,False,False,False
39,CW258,Cybercrime and IT Security,"Institute of Technology, Carlow",315.0,370.0,True,False,False,False,False
40,CW438,Construction,"Institute of Technology, Carlow",260.0,290.0,True,False,False,False,False
41,CW468,Architectural Technology,"Institute of Technology, Carlow",270.0,325.0,True,False,False,False,False
42,CW478,Civil Engineering,"Institute of Technology, Carlow",395.0,430.0,True,False,False,False,False
43,CW548,Mechanical Engineering,"Institute of Technology, Carlow",335.0,367.0,True,False,False,False,False
44,CW558,Electronic Systems,"Institute of Technology, Carlow",290.0,330.0,True,False,False,False,False
45,CW568,Aero Engineering,"Institute of Technology, Carlow",395.0,430.0,True,False,False,False,False
