,Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
0,AL031,Computer and Software Engineering  ,ATHLONE IT,270.0,,True,False,False,False,False
1,AL032,Polymer Technology                 ,ATHLONE IT,240.0,,True,False,False,False,False
2,AL033,Toxicology                         ,ATHLONE IT,245.0,,True,False,False,False,False
3,PC410,Humanities                         ,CARLOW COLLEGE,300.0,,True,False,False,False,False
4,CW046,Computer Networking                ,IT CARLOW,270.0,,True,False,False,False,False
5,CW100,International Business with French ,IT CARLOW,290.0,,True,False,False,False,False
6,CW101,International Business with German ,IT CARLOW,260.0,,True,False,False,False,False
7,CR105,Chemical Engineering               ,CORK IT,460.0,,True,False,False,False,False
8,CR106,Computer Applications              ,CORK IT,275.0,,True,False,False,False,False
9,CR107,Electronic Engineering             ,CORK IT,245.0,,True,False,False,False,False
10,CR108,Mechanical Engineering             ,CORK IT,365.0,,True,False,False,False,False
11,CR109,Structural Engineering             ,CORK IT,400.0,,True,False,False,False,False
12,CR111,Computerised Instrument Systems    ,CORK IT,305.0,,True,False,False,False,False
13,CR112,Multimedia                         ,CORK IT,455.0,,True,False,True,False,False
14,CR114,Software Development with French   ,CORK IT,320.0,,True,False,False,False,False
15,CR115,Software Development with German   ,CORK IT,300.0,,True,False,False,False,False
16,CR116,Software Dev & Comp Net            ,CORK IT,340.0,,True,False,False,False,False
17,CR121,Music                              ,CORK IT,695.0,,True,False,True,False,False
18,CK101,Arts                               ,UNIVERSITY COLLEGE CORK,390.0,,True,False,False,False,False
19,CK102,Social Science                     ,UNIVERSITY COLLEGE CORK,400.0,,True,False,True,False,False
20,CK103,Music                              ,UNIVERSITY COLLEGE CORK,340.0,,True,True,False,False,False
21,CK104,Arts/Music                         ,UNIVERSITY COLLEGE CORK,420.0,,True,True,False,False,False
22,CK105,European Studies                   ,UNIVERSITY COLLEGE CORK,405.0,,True,False,False,False,False
23,CK106,Applied Psychology                 ,UNIVERSITY COLLEGE CORK,510.0,,True,False,False,False,False
24,CK107,Language & Cultural Studies - Frenc,UNIVERSITY COLLEGE CORK,335.0,,True,False,False,False,False
25,CK108,Language & Cultural Studies - Germa,UNIVERSITY COLLEGE CORK,270.0,,True,False,False,False,False
26,CK109,Language & Cultural Studies - Itali,UNIVERSITY COLLEGE CORK,245.0,,True,False,False,False,False
27,CK110,Language & Cultural Studies - Spani,UNIVERSITY COLLEGE CORK,380.0,,True,False,False,False,False
28,CK111,Early Childhood Studies            ,UNIVERSITY COLLEGE CORK,380.0,,True,False,True,False,False
29,CK112,Drama and Theatre Studies          ,UNIVERSITY COLLEGE CORK,475.0,,True,True,False,False,False
30,CK201,Commerce                           ,UNIVERSITY COLLEGE CORK,455.0,,True,False,False,False,False
31,CK202,Accounting                         ,UNIVERSITY COLLEGE CORK,440.0,,True,False,False,False,False
32,CK203,Business Information Systems       ,UNIVERSITY COLLEGE CORK,485.0,,True,False,True,False,False
33,CK204,Finance                            ,UNIVERSITY COLLEGE CORK,445.0,,True,False,False,False,False
34,CK205,Commerce with French               ,UNIVERSITY COLLEGE CORK,480.0,,True,False,False,False,False
35,CK206,Commerce  with German              ,UNIVERSITY COLLEGE CORK,300.0,,True,False,False,False,False
36,CK207,Commerce  with Italian             ,UNIVERSITY COLLEGE CORK,390.0,,True,False,False,False,False
37,CK208,Commerce  with Spanish             ,UNIVERSITY COLLEGE CORK,400.0,,True,False,False,False,False
38,CK209,Commerce  with Irish               ,UNIVERSITY COLLEGE CORK,450.0,,True,False,False,False,False
39,CK210,Government and Public Policy       ,UNIVERSITY COLLEGE CORK,410.0,,True,False,True,False,False
40,CK301,Law                                ,UNIVERSITY COLLEGE CORK,500.0,,True,False,False,False,False
41,CK302,Law and French                     ,UNIVERSITY COLLEGE CORK,510.0,,True,False,False,False,False
42,CK303,Law and German                     ,UNIVERSITY COLLEGE CORK,475.0,,True,False,False,False,False
43,CK304,Law and Irish                      ,UNIVERSITY COLLEGE CORK,485.0,,True,False,False,False,False
44,CK401,Computer Science                   ,UNIVERSITY COLLEGE CORK,380.0,,True,False,True,False,False
45,CK402,Biological and Chemical Sciences   ,UNIVERSITY COLLEGE CORK,390.0,,True,False,False,False,False
46,CK403,Chemical Math. & Physical Sciences ,UNIVERSITY COLLEGE CORK,335.0,,True,False,False,False,False
47,CK404,Environmental Sciences             ,UNIVERSITY COLLEGE CORK,345.0,,True,False,False,False,False
48,CK501,Food Business                      ,UNIVERSITY COLLEGE CORK,335.0,,True,False,False,False,False
49,CK502,Food Science                       ,UNIVERSITY COLLEGE CORK,300.0,,True,False,False,False,False
50,CK503,Food Technology                    ,UNIVERSITY COLLEGE CORK,280.0,,True,False,False,False,False
51,CK504,Nutritional Sciences               ,UNIVERSITY COLLEGE CORK,390.0,,True,False,False,False,False
52,CK601,Process Engineering                ,UNIVERSITY COLLEGE CORK,430.0,,True,False,False,False,False
53,CK602,Civil and Environmental Engineering,UNIVERSITY COLLEGE CORK,465.0,,True,False,False,False,False
54,CK603,Electrical and Electronic Engineeri,UNIVERSITY COLLEGE CORK,330.0,,True,False,False,False,False
55,CK701,Medicine                           ,UNIVERSITY COLLEGE CORK,560.0,,True,False,False,False,False
56,CK702,Dentistry                          ,UNIVERSITY COLLEGE CORK,540.0,,True,False,True,False,False
57,AH001,Theology and Philosophy            ,ALL HALLOWS,275.0,,True,False,False,False,False
58,AH002,Theology and Psychology            ,ALL HALLOWS,280.0,,True,False,False,False,False
59,AH003,Theology and English Literature    ,ALL HALLOWS,270.0,,True,False,False,False,False
60,AH004,Theology and Spirituality          ,ALL HALLOWS,315.0,,True,False,False,False,False
61,AC120,International Business             ,AMERICAN COLLEGE,225.0,,True,False,False,False,False
62,AC141,Behav Science ( Psychology )       ,AMERICAN COLLEGE,200.0,,True,False,False,False,False
63,AC142,Behav Sci ( Applied Social Studies),AMERICAN COLLEGE,225.0,,True,False,False,False,False
64,CE001,Church of Ireland                  ,CHURCH OF IRELAND COLLEGE,345.0,,True,False,False,False,False
65,CM001,Marino                             ,COLAISTE MHUIRE MARINO,415.0,,True,False,False,False,False
66,CM002,Marino/Gael                        ,COLAISTE MHUIRE MARINO,375.0,,True,False,False,False,False
67,DB512,Business Studies                   ,DUBLIN BUSINESS SCHOOL,250.0,,True,False,False,False,False
