Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
AL801,Software Design (Game Development or Cloud Computing),Athlone Institute of Technology,295.0,326.0,True,False,False,False,False
AL810,Quantity Surveying,Athlone Institute of Technology,300.0,340.0,True,False,False,False,False
AL820,Mechanical and Polymer Engineering,Athlone Institute of Technology,299.0,371.0,True,False,False,False,False
AL830,General Nursing,Athlone Institute of Technology,418.0,440.0,True,False,False,False,False
AL832,Psychiatric Nursing,Athlone Institute of Technology,377.0,388.0,True,False,False,False,False
AL836,Health Science with Nutrition,Athlone Institute of Technology,354.0,389.0,True,False,False,False,False
AL837,Sports Science with Exercise Physiology,Athlone Institute of Technology,346.0,369.0,True,False,False,False,False
AL838,Biotechnology,Athlone Institute of Technology,301.0,338.0,True,False,False,False,False
AL839,Microbiology,Athlone Institute of Technology,318.0,380.0,True,False,False,False,False
AL840,Pharmaceutical Science,Athlone Institute of Technology,312.0,388.0,True,False,False,False,False
AL841,Athletic and Rehabilitation Therapy,Athlone Institute of Technology,402.0,431.0,True,False,False,False,False
AL842,Bioveterinary Science,Athlone Institute of Technology,304.0,367.0,True,False,False,False,False
AL843,Physical Activity and Health Science,Athlone Institute of Technology,317.0,337.0,True,False,False,False,False
AL844,Toxicology and Analytical Science,Athlone Institute of Technology,337.0,421.0,True,False,False,False,False
AL850,Business,Athlone Institute of Technology,308.0,359.0,True,False,False,False,False
AL851,Business and Law,Athlone Institute of Technology,300.0,359.0,True,False,False,False,False
AL852,Accounting (with optional placement),Athlone Institute of Technology,306.0,366.0,True,False,False,False,False
AL853,Accounting and Law,Athlone Institute of Technology,377.0,397.0,True,False,False,False,False
AL855,Hospitality Management (with International Placement),Athlone Institute of Technology,310.0,337.0,True,False,False,False,False
AL860,Social Care Practice,Athlone Institute of Technology,300.0,338.0,True,False,False,False,False
AL861,Animation and Illustration (Portfolio /Interview Required),Athlone Institute of Technology,789.0,948.0,True,True,False,False,False
AL870,Applied Psychology (4 year programme),Athlone Institute of Technology,366.0,390.0,True,False,False,False,False
CW018,Business (with options - Wexford),"Institute of Technology, Carlow",250.0,356.0,True,False,False,False,False
CW028,Early Childhood Education and Care (Wexford),"Institute of Technology, Carlow",249.0,308.0,True,False,False,False,False
CW038,Art (Portfolio - Wexford),"Institute of Technology, Carlow",700.0,700.0,True,True,False,False,False
CW068,Applied Social Studies - Professional Social Care (Wexford),"Institute of Technology, Carlow",260.0,287.0,True,False,False,False,False
CW078,Sustainable Farm Management and Agribusiness (Wexford),"Institute of Technology, Carlow",270.0,324.0,True,False,False,False,False
CW088,Visual Communications and Design (Wexford),"Institute of Technology, Carlow",270.0,327.0,True,False,False,False,False
CW108,Biosciences (with options),"Institute of Technology, Carlow",276.0,329.0,True,False,False,False,False
CW178,Sport Science (with options),"Institute of Technology, Carlow",390.0,412.0,True,False,False,False,False
CW188,Sport Rehabilitation and Athletic Therapy,"Institute of Technology, Carlow",440.0,464.0,True,False,False,False,False
CW208,Computer Games Development,"Institute of Technology, Carlow",280.0,347.0,True,False,False,False,False
CW238,Software Development,"Institute of Technology, Carlow",298.0,326.0,True,False,False,False,False
CW248,Information Technology Management,"Institute of Technology, Carlow",288.0,329.0,True,False,False,False,False
CW258,Cybercrime and IT Security,"Institute of Technology, Carlow",290.0,319.0,True,False,False,False,False
CW438,Construction (with options QSY/FBS),"Institute of Technology, Carlow",263.0,303.0,True,False,False,False,False
CW468,Architectural Technology,"Institute of Technology, Carlow",260.0,317.0,True,False,False,False,False
CW478,Civil Engineering,"Institute of Technology, Carlow",331.0,372.0,True,False,False,False,False
CW548,Mechanical Engineering,"Institute of Technology, Carlow",323.0,352.0,True,False,False,False,False
CW558,Electronic Systems,"Institute of Technology, Carlow",262.0,323.0,True,False,False,False,False
CW568,Aerospace Engineering,"Institute of Technology, Carlow",368.0,412.0,True,False,False,False,False
CW578,TV and Media Production,"Institute of Technology, Carlow",360.0,388.0,True,False,False,False,False
CW708,Law - LLB,"Institute of Technology, Carlow",298.0,343.0,True,False,False,False,False
CW728,Product Design Innovation,"Institute of Technology, Carlow",252.0,330.0,True,False,False,False,False
CW748,Early Childhood Education and Care,"Institute of Technology, Carlow",275.0,308.0,True,False,False,False,False
CW758,Applied Social Studies - Professional Social Care,"Institute of Technology, Carlow",270.0,317.0,True,False,False,False,False
CW808,Media and Public Relations,"Institute of Technology, Carlow",252.0,336.0,True,False,False,False,False
CW858,Sport Management and Coaching (with options - Portfolio required),"Institute of Technology, Carlow",700.0,700.0,True,True,False,False,False
CW908,Business (with options),"Institute of Technology, Carlow",270.0,307.0,True,False,False,False,False
CW938,Business with Law,"Institute of Technology, Carlow",281.0,338.0,True,False,False,False,False
CW948,Accounting,"Institute of Technology, Carlow",307.0,361.0,True,False,False,False,False
PC405,Citizenship and Community Studies,"Carlow College, St. Patrick`s",227.0,255.0,True,False,False,False,False
PC410,Humanities (fulfils Teaching Council requirements),"Carlow College, St. Patrick`s",219.0,289.0,True,False,False,False,False
PC411,English and History (fulfils Teaching Council requirements),"Carlow College, St. Patrick`s",228.0,288.0,True,False,False,False,False
CR105,Chemical and Biopharmaceutical Engineering,Cork Institute of Technology,444.0,510.0,True,False,False,False,False
CR106,Software Development,Cork Institute of Technology,350.0,403.0,True,False,False,False,False
CR108,Mechanical Engineering,Cork Institute of Technology,416.0,490.0,True,False,False,False,False
CR109,Structural Engineering,Cork Institute of Technology,366.0,466.0,True,False,False,False,False
CR112,Creative Digital Media,Cork Institute of Technology,336.0,391.0,True,False,False,False,False
CR116,Computer Systems,Cork Institute of Technology,316.0,347.0,True,False,False,False,False
CR121,Music at CIT Cork School of Music,Cork Institute of Technology,628.0,1016.0,True,True,False,False,False
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,Cork Institute of Technology,836.0,875.0,True,True,False,False,False
CR126,Popular Music: Drums at CIT Cork School of Music,Cork Institute of Technology,697.0,907.0,True,True,False,False,False
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,Cork Institute of Technology,704.0,820.0,True,True,False,False,False
CR128,Popular Music: Keyboards at CIT Cork School of Music,Cork Institute of Technology,708.0,969.0,True,True,False,False,False
CR129,Popular Music: Voice at CIT Cork School of Music,Cork Institute of Technology,607.0,936.0,True,True,False,False,False
CR150,Business Information Systems,Cork Institute of Technology,316.0,362.0,True,False,False,False,False
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",Cork Institute of Technology,666.0,833.0,True,True,False,False,False
CR220,Fine Art at CIT Crawford College of Art and Design,Cork Institute of Technology,565.0,877.0,True,True,False,False,False
