,Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
0,AL032,Software Design (Games Development),ATHLONE IT,285.0,330.0,True,False,False,False,False
1,AL033,Toxicology,ATHLONE IT,240.0,330.0,True,False,False,False,False
2,AL034,Software Design (Web Development),ATHLONE IT,285.0,340.0,True,False,False,False,False
3,AL035,Construction Technology and Management,ATHLONE IT,265.0,315.0,True,False,False,False,False
4,AL050,Business,ATHLONE IT,270.0,325.0,True,False,False,False,False
5,AL051,Accounting,ATHLONE IT,260.0,335.0,True,False,False,False,False
6,AL052,Design (Visual Communications),ATHLONE IT,465.0,765.0,True,True,False,False,False
7,AL053,Pharmaceutical Sciences,ATHLONE IT,250.0,345.0,True,False,False,False,False
8,AL054,Social Care Practice,ATHLONE IT,330.0,350.0,True,False,False,False,False
9,AL055,Society and Communications,ATHLONE IT,,,True,False,False,False,False
10,AL057,Business and Law,ATHLONE IT,255.0,310.0,True,False,False,False,False
11,AL058,Accounting and Law,ATHLONE IT,265.0,340.0,True,False,False,False,False
12,AL110,General Nursing,ATHLONE IT,400.0,405.0,True,False,False,False,False
13,AL111,Mature Applicants General Nursing,ATHLONE IT,225.0,230.0,True,True,False,False,False
14,AL112,Psychiatric Nursing,ATHLONE IT,375.0,380.0,True,False,False,False,False
15,AL113,Mature Applicants Psychiatric Nursing,ATHLONE IT,217.0,223.0,True,True,False,False,False
16,AL837,Sports Science with Exercise Physiology,ATHLONE IT,375.0,395.0,True,False,False,False,False
17,PC405,Citizenship and Community Studies,CARLOW COLLEGE,225.0,290.0,True,False,False,False,False
18,PC410,Humanities,CARLOW COLLEGE,280.0,310.0,True,False,False,False,False
19,PC411,English and History,CARLOW COLLEGE,300.0,335.0,True,False,False,False,False
20,CW018,Business (Wexford campus),IT CARLOW,295.0,380.0,True,False,False,False,False
21,CW028,Early Childhood Education and Care (Wexford campus),IT CARLOW,280.0,305.0,True,False,False,False,False
22,CW038,Art (Wexford campus - Portfolio),IT CARLOW,700.0,700.0,True,True,False,False,False
23,CW058,Sustainable Architectural Technology (Wexford campus),IT CARLOW,255.0,280.0,True,False,False,False,False
24,CW068,Applied Social Studies - Social Care (Wexford campus),IT CARLOW,335.0,345.0,True,False,False,False,False
25,CW088,Visual Communications and Design (Wexford campus),IT CARLOW,300.0,330.0,True,False,False,False,False
26,CW108,Biosciences with Bioforensics or Biopharmaceuticals,IT CARLOW,295.0,325.0,True,False,False,False,False
27,CW168,Environmental Science,IT CARLOW,320.0,340.0,True,False,False,False,False
28,CW178,Sport Science,IT CARLOW,415.0,430.0,True,False,False,False,False
29,CW188,Sports Rehabilitation and Athletic Therapy,IT CARLOW,445.0,465.0,True,False,False,False,False
30,CW208,Computer Games Development,IT CARLOW,325.0,375.0,True,False,False,False,False
31,CW238,Software Development,IT CARLOW,295.0,325.0,True,False,False,False,False
32,CW248,Computer Systems Management,IT CARLOW,290.0,330.0,True,False,False,False,False
33,CW438,Construction - Quantity Surveying,IT CARLOW,250.0,265.0,True,False,False,False,False
34,CW448,Construction - Facilities and Energy Management,IT CARLOW,300.0,330.0,True,False,False,False,False
35,CW468,Architectural Technology,IT CARLOW,275.0,320.0,True,False,False,False,False
36,CW548,Mechanical Engineering,IT CARLOW,315.0,360.0,True,False,False,False,False
37,CW558,Electronic Systems,IT CARLOW,300.0,335.0,True,False,False,False,False
38,CW708,Law,IT CARLOW,305.0,335.0,True,False,False,False,False
39,CW728,Product Design Innovation,IT CARLOW,305.0,335.0,True,False,False,False,False
40,CW748,Early Childhood Education and Care,IT CARLOW,320.0,340.0,True,False,False,False,False
41,CW758,Applied Social Studies - Social Care,IT CARLOW,350.0,365.0,True,False,False,False,False
42,CW768,Social and Community Studies,IT CARLOW,330.0,340.0,True,False,False,False,False
43,CW808,Media and Public Relations,IT CARLOW,320.0,355.0,True,False,False,False,False
44,CW838,Business - Marketing,IT CARLOW,295.0,360.0,True,False,False,False,False
45,CW908,Business,IT CARLOW,285.0,345.0,True,False,False,False,False
46,CW928,Business - Human Resource Management,IT CARLOW,285.0,315.0,True,False,False,False,False
47,CW938,Business with Law,IT CARLOW,320.0,360.0,True,False,False,False,False
48,CW948,Accounting,IT CARLOW,315.0,380.0,True,False,False,False,False
49,CR105,Chemical and Biopharmaceutical Engineering,CORK IT,395.0,470.0,True,False,False,False,False
50,CR106,Software Development,CORK IT,290.0,340.0,True,False,False,False,False
51,CR108,Mechanical Engineering,CORK IT,345.0,440.0,True,False,False,False,False
52,CR109,Structural Engineering,CORK IT,380.0,395.0,True,False,False,False,False
53,CR112,Multimedia,CORK IT,390.0,410.0,True,False,False,False,False
54,CR116,Software Development and Computer Networking,CORK IT,290.0,325.0,True,False,False,False,False
55,CR121,Music at CIT Cork School of Music,CORK IT,795.0,995.0,True,False,True,False,False
56,CR150,Business Information Systems,CORK IT,315.0,355.0,True,False,False,False,False
57,CR210,"Applied Art, Ceramics (Crawford College of Art & Design)",CORK IT,650.0,905.0,True,True,False,False,False
58,CR220,Fine Art and Ceramic Design at CIT Crawford College of Art a,CORK IT,700.0,865.0,True,True,False,False,False
59,CR305,Science (Common entry),CORK IT,310.0,340.0,True,False,False,False,False
60,CR310,IT Management,CORK IT,290.0,320.0,True,False,False,False,False
61,CR312,Web Development,CORK IT,295.0,330.0,True,False,False,False,False
62,CR320,Biomedical Science - Joint CIT and UCC programme,CORK IT,495.0,515.0,True,False,False,False,False
63,CR325,Pharmaceutical Biotechnology,CORK IT,285.0,335.0,True,False,False,False,False
64,CR330,Herbal Science,CORK IT,250.0,310.0,True,False,False,False,False
65,CR333,Nutrition and Health Science,CORK IT,320.0,355.0,True,False,False,False,False
66,CR340,Analytical Chemistry with Quality Assurance,CORK IT,290.0,350.0,True,False,False,False,False
67,CR360,Instrument Engineering,CORK IT,320.0,350.0,True,False,False,False,False
