Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
AL802,Software Design (Games Development),ATHLONE IT,275.0,325.0,True,False,False,False,False
AL803,Software Design (Cloud Computing),ATHLONE IT,280.0,345.0,True,False,False,False,False
AL830,General Nursing,ATHLONE IT,410.0,415.0,True,False,True,False,False
AL831,Mature Applicants General Nursing,ATHLONE IT,566.0,581.0,True,True,False,False,False
AL832,Psychiatric Nursing,ATHLONE IT,395.0,400.0,True,False,False,False,False
AL833,Mature Applicants Psychiatric Nursing,ATHLONE IT,557.0,564.0,True,True,False,False,False
AL836,Health Science and Nutrition,ATHLONE IT,395.0,420.0,True,False,False,False,False
AL837,Sports Science and Exercise Physiology,ATHLONE IT,400.0,420.0,True,False,True,False,False
AL838,Biotechnology,ATHLONE IT,275.0,320.0,True,False,False,False,False
AL839,Human and Animal Toxicology,ATHLONE IT,275.0,335.0,True,False,False,False,False
AL840,Pharmaceutical Science,ATHLONE IT,270.0,315.0,True,False,False,False,False
AL841,Sports Therapy with Rehabilitation,ATHLONE IT,420.0,450.0,True,False,False,False,False
AL850,Business,ATHLONE IT,285.0,355.0,True,False,False,False,False
AL851,Business and Law,ATHLONE IT,270.0,335.0,True,False,False,False,False
AL852,Accounting,ATHLONE IT,340.0,385.0,True,False,False,False,False
AL860,Social Care Practice,ATHLONE IT,325.0,360.0,True,False,False,False,False
AL862,Visual Communications,ATHLONE IT,510.0,795.0,True,True,False,False,False
PC405,Citizenship & Community Studies,CARLOW COLLEGE,250.0,280.0,True,False,False,False,False
PC410,Humanities,CARLOW COLLEGE,250.0,295.0,True,False,False,False,False
PC411,English and History,CARLOW COLLEGE,275.0,325.0,True,False,False,False,False
CW018,Business (Wexford),IT CARLOW,255.0,355.0,True,False,False,False,False
CW028,Early Childhood Education and Care (Wexford),IT CARLOW,275.0,310.0,True,False,False,False,False
CW038,Art  (Wexford) - Portfolio,IT CARLOW,700.0,700.0,True,True,False,False,False
CW068,Applied Social Studies (Professional Social Care - Wexford),IT CARLOW,360.0,375.0,True,False,False,False,False
CW088,Visual Communications and Design (Wexford),IT CARLOW,305.0,395.0,True,False,False,False,False
CW108,Biosciences with Bioforensics or Biopharmaceuticals,IT CARLOW,300.0,370.0,True,False,False,False,False
CW168,Environmental Science,IT CARLOW,330.0,365.0,True,False,False,False,False
CW178,Sport Science,IT CARLOW,400.0,425.0,True,False,False,False,False
CW188,Sports Rehabilitation and Athletic Therapy,IT CARLOW,480.0,495.0,True,False,False,False,False
CW198,Strength and Conditioning,IT CARLOW,405.0,425.0,True,False,False,False,False
CW208,Computer Games Development,IT CARLOW,325.0,365.0,True,False,False,False,False
CW238,Software Development,IT CARLOW,300.0,330.0,True,False,False,False,False
CW248,Computing Systems Management,IT CARLOW,300.0,320.0,True,False,False,False,False
CW438,Construction - Quantity Surveying,IT CARLOW,235.0,315.0,True,False,False,False,False
CW448,Construction - Facilities and Energy Management,IT CARLOW,280.0,330.0,True,False,False,False,False
CW468,Architectural Technology,IT CARLOW,260.0,305.0,True,False,False,False,False
CW478,Civil Engineering,IT CARLOW,280.0,280.0,True,False,False,False,False
CW548,Mechanical Engineering,IT CARLOW,290.0,345.0,True,False,False,False,False
CW558,Electronic Systems,IT CARLOW,310.0,355.0,True,False,False,False,False
CW568,Aerospace Engineering,IT CARLOW,370.0,390.0,True,False,False,False,False
CW708,Law,IT CARLOW,300.0,350.0,True,False,False,False,False
CW728,Product Design Innovation,IT CARLOW,330.0,335.0,True,False,False,False,False
CW748,Early Childhood Education and Care,IT CARLOW,315.0,350.0,True,False,False,False,False
CW758,Applied Social Studies (Professional Social Care),IT CARLOW,340.0,360.0,True,False,False,False,False
CW768,Social and Community Studies,IT CARLOW,280.0,295.0,True,False,False,False,False
CW788,Youth and Community Work,IT CARLOW,300.0,325.0,True,False,False,False,False
CW808,Media and Public Relations,IT CARLOW,285.0,330.0,True,False,False,False,False
CW838,Business - Marketing,IT CARLOW,280.0,340.0,True,False,False,False,False
CW858,"Sports Management and Coaching (Options: GAA, Rugby and Soccer)",IT CARLOW,700.0,700.0,True,True,False,False,False
CW908,Business - Management,IT CARLOW,280.0,335.0,True,False,False,False,False
CW928,Business - Human Resource Management,IT CARLOW,290.0,320.0,True,False,False,False,False
CW938,Business with Law,IT CARLOW,290.0,330.0,True,False,False,False,False
CW948,Accounting,IT CARLOW,335.0,400.0,True,False,False,False,False
CR105,Chemical and Biopharmaceutical Engineering,CORK IT,360.0,475.0,True,False,False,False,False
CR106,Software Development,CORK IT,300.0,365.0,True,False,False,False,False
CR108,Mechanical Engineering,CORK IT,340.0,440.0,True,False,False,False,False
CR109,Structural Engineering,CORK IT,400.0,410.0,True,False,False,False,False
CR112,Multimedia,CORK IT,350.0,385.0,True,False,False,False,False
CR116,Software Development and Computer Networking,CORK IT,305.0,350.0,True,False,False,False,False
CR121,Music at CIT - Cork School of Music,CORK IT,700.0,1020.0,True,False,True,False,False
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Mu,CORK IT,615.0,665.0,True,False,True,False,False
CR126,Popular Music: Drums at CIT Cork School of Music,CORK IT,755.0,815.0,True,False,True,False,False
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,CORK IT,795.0,915.0,True,False,True,False,False
CR128,Popular Music: Keyboards at CIT Cork School of Music,CORK IT,720.0,720.0,True,False,True,False,False
CR129,Popular Music: Voice at CIT Cork School of Music,CORK IT,795.0,885.0,True,False,True,False,False
CR150,Business Information Systems,CORK IT,335.0,375.0,True,False,False,False,False
CR210,Contemporary Applied Art,CORK IT,653.0,967.0,True,True,False,False,False
