Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
AL802,Software Design (Games Development),ATHLONE IT,300.0,340.0,True,False,False,False,False
AL803,Software Design (Web Development),ATHLONE IT,310.0,335.0,True,False,False,False,False
AL805,Construction Technology and Management,ATHLONE IT,,,True,False,False,False,False
AL830,General Nursing,ATHLONE IT,415.0,430.0,True,False,True,False,False
AL831,Mature Applicants General Nursing,ATHLONE IT,233.0,235.0,True,True,False,False,False
AL832,Psychiatric Nursing,ATHLONE IT,395.0,405.0,True,False,False,False,False
AL833,Mature Applicants Psychiatric Nursing,ATHLONE IT,230.0,234.0,True,True,False,False,False
AL835,Audiology,ATHLONE IT,405.0,440.0,True,False,False,False,False
AL836,Health Science and Nutrition,ATHLONE IT,375.0,400.0,True,False,False,False,False
AL837,Sports Science with Exercise Physiology,ATHLONE IT,360.0,385.0,True,False,False,False,False
AL838,Biotechnology,ATHLONE IT,270.0,340.0,True,False,False,False,False
AL839,Human and Animal Toxicology,ATHLONE IT,275.0,335.0,True,False,False,False,False
AL840,Pharmaceutical Science,ATHLONE IT,260.0,305.0,True,False,False,False,False
AL841,Sports Therapy with Rehabilitation,ATHLONE IT,365.0,400.0,True,False,False,False,False
AL850,Business,ATHLONE IT,270.0,320.0,True,False,False,False,False
AL851,Business and Law,ATHLONE IT,270.0,320.0,True,False,False,False,False
AL852,Accounting,ATHLONE IT,295.0,365.0,True,False,False,False,False
AL853,Accounting and Law,ATHLONE IT,,,True,False,False,False,False
AL860,Social Care Practice,ATHLONE IT,340.0,360.0,True,False,False,False,False
AL862,Visual Communications,ATHLONE IT,795.0,905.0,True,True,False,False,False
PC405,Citizenship & Community Studies,CARLOW COLLEGE,280.0,300.0,True,False,False,False,False
PC410,Humanities,CARLOW COLLEGE,255.0,290.0,True,False,False,False,False
PC411,English and History,CARLOW COLLEGE,270.0,310.0,True,False,False,False,False
CW018,Business - Wexford,IT CARLOW,280.0,330.0,True,False,False,False,False
CW028,Early Childhood Education and Care - Wexford,IT CARLOW,290.0,310.0,True,False,False,False,False
CW038,Art - Wexford - Portfolio,IT CARLOW,700.0,700.0,True,True,False,False,False
CW068,Applied Social Studies - Professional Social Care - Wexford,IT CARLOW,350.0,355.0,True,False,False,False,False
CW088,Visual Communications and Design - Wexford,IT CARLOW,330.0,385.0,True,False,False,False,False
CW108,Biosciences with Bioforensics or Biopharmaceutials,IT CARLOW,290.0,335.0,True,False,False,False,False
CW168,Environmental Science,IT CARLOW,320.0,375.0,True,False,False,False,False
CW178,Sport Science,IT CARLOW,400.0,420.0,True,False,False,False,False
CW188,Sports Rehabilitation and Athletic Therapy,IT CARLOW,450.0,465.0,True,False,False,False,False
CW208,Computer Games Development,IT CARLOW,325.0,370.0,True,False,False,False,False
CW238,Software Development,IT CARLOW,325.0,360.0,True,False,False,False,False
CW248,Computer Systems Management,IT CARLOW,290.0,320.0,True,False,False,False,False
CW438,Construction - Quantity Surveying,IT CARLOW,285.0,295.0,True,False,False,False,False
CW448,Construction - Facilities and Energy Management,IT CARLOW,280.0,310.0,True,False,False,False,False
CW468,Architectural Technology,IT CARLOW,275.0,340.0,True,False,False,False,False
CW538,Pilot Studies (Portfolio),IT CARLOW,,,True,False,False,False,False
CW548,Mechanical Engineering,IT CARLOW,300.0,345.0,True,False,False,False,False
CW558,Electronic Systems,IT CARLOW,300.0,350.0,True,False,False,False,False
CW708,Law,IT CARLOW,305.0,345.0,True,False,False,False,False
CW728,Product Design Innovation,IT CARLOW,305.0,335.0,True,False,False,False,False
CW748,Early Childhood Education and Care,IT CARLOW,315.0,335.0,True,False,False,False,False
CW758,Applied Social Studies - Professional Social Care,IT CARLOW,340.0,360.0,True,False,False,False,False
CW768,Social and Community Studies,IT CARLOW,300.0,330.0,True,False,False,False,False
CW808,Communications - Media and Public Relations,IT CARLOW,300.0,335.0,True,False,False,False,False
CW838,Business - Marketing,IT CARLOW,285.0,320.0,True,False,False,False,False
CW858,Sports Management and Coaching(GAA Rugby Soccer) - Portfolio,IT CARLOW,700.0,700.0,True,True,False,False,False
CW908,Business - Management,IT CARLOW,280.0,325.0,True,False,False,False,False
CW928,Business - Human Resource Management,IT CARLOW,295.0,320.0,True,False,False,False,False
CW938,Business with Law,IT CARLOW,315.0,360.0,True,False,False,False,False
CW948,Accounting,IT CARLOW,300.0,395.0,True,False,False,False,False
CR105,Chemical and Biopharmaceutical Engineering,CORK IT,335.0,470.0,True,False,False,False,False
CR106,Software Development,CORK IT,300.0,345.0,True,False,False,False,False
CR108,Mechanical Engineering,CORK IT,340.0,440.0,True,False,False,False,False
CR109,Structural Engineering,CORK IT,,,True,False,False,False,False
CR112,Multimedia,CORK IT,365.0,395.0,True,False,False,False,False
CR116,Software Development and Computer Networking,CORK IT,305.0,325.0,True,False,False,False,False
CR121,Music - at CIT Cork School of Music,CORK IT,630.0,970.0,True,False,True,False,False
CR150,Business Information Systems,CORK IT,315.0,360.0,True,False,False,False,False
CR210,"Applied Art, Ceramics - at CIT Crawford College of Art and Design",CORK IT,685.0,850.0,True,True,False,False,False
CR220,Fine Art - at CIT Crawford College of Art and Design,CORK IT,600.0,920.0,True,True,False,False,False
CR305,Science (Level 8 -  Common Entry),CORK IT,320.0,360.0,True,False,False,False,False
CR310,IT Management,CORK IT,290.0,320.0,True,False,False,False,False
CR312,Web Development,CORK IT,295.0,340.0,True,False,False,False,False
CR320,Biomedical Science (Joint CIT & UCC programme),CORK IT,520.0,535.0,True,False,True,False,False
CR325,Pharmaceutical Biotechnology,CORK IT,300.0,335.0,True,False,False,False,False
CR330,Herbal Science,CORK IT,265.0,325.0,True,False,False,False,False
CR333,Nutrition and Health Science,CORK IT,340.0,370.0,True,False,False,False,False
CR340,Analytical Chemistry with Quality Assurance,CORK IT,295.0,315.0,True,False,False,False,False
CR360,Instrument Engineering,CORK IT,320.0,415.0,True,False,False,False,False
CR365,Environmental Science and Sustainable Technology,CORK IT,310.0,350.0,True,False,False,False,False
CR400,Accounting,CORK IT,325.0,385.0,True,False,False,False,False
CR420,Marketing,CORK IT,295.0,340.0,True,False,False,False,False
CR500,Engineering (Level 8 - Common Entry),CORK IT,310.0,425.0,True,False,False,False,False
CR510,Sustainable Energy,CORK IT,300.0,360.0,True,False,False,False,False
CR520,Biomedical Engineering,CORK IT,390.0,460.0,True,False,False,False,False
CR522,Building Energy Systems,CORK IT,260.0,320.0,True,False,False,False,False
CR560,Architectural Technology,CORK IT,285.0,340.0,True,False,False,False,False
CR565,Interior Architecture,CORK IT,280.0,330.0,True,False,False,False,False
CR570,Quantity Surveying,CORK IT,280.0,340.0,True,False,False,False,False
CR572,Construction Management,CORK IT,255.0,315.0,True,False,False,False,False
CR580,Electrical Power Systems,CORK IT,305.0,380.0,True,False,False,False,False
CR590,Electronic Systems Engineering,CORK IT,330.0,390.0,True,False,False,False,False
CR600,Visual Communications,CORK IT,595.0,790.0,True,True,False,False,False
CR660,Tourism,CORK IT,260.0,315.0,True,False,False,False,False
CR700,Theatre & Drama Studies,CORK IT,685.0,930.0,True,True,False,False,False
CK101,Arts,UNIVERSITY COLLEGE CORK,330.0,390.0,True,False,False,False,False
CK102,Social Science,UNIVERSITY COLLEGE CORK,390.0,420.0,True,False,False,False,False
CK103,Music,UNIVERSITY COLLEGE CORK,370.0,420.0,True,True,False,False,False
CK104,Arts with Music,UNIVERSITY COLLEGE CORK,335.0,465.0,True,True,False,False,False
CK106,Applied Psychology,UNIVERSITY COLLEGE CORK,510.0,540.0,True,False,False,False,False
CK111,Early Years and Childhood Studies,UNIVERSITY COLLEGE CORK,395.0,430.0,True,False,False,False,False
CK112,Drama and Theatre Studies,UNIVERSITY COLLEGE CORK,355.0,460.0,True,True,False,False,False
CK114,Social Science (Youth & Community Work) - Mature App's only,UNIVERSITY COLLEGE CORK,999.0,,True,False,False,False,False
CK115,Social Work - Mature Applicants only,UNIVERSITY COLLEGE CORK,999.0,,True,False,False,False,False
CK116,Sports Studies and Physical Education,UNIVERSITY COLLEGE CORK,475.0,495.0,True,False,True,False,False
CK201,Commerce,UNIVERSITY COLLEGE CORK,430.0,470.0,True,False,False,False,False
CK202,Accounting,UNIVERSITY COLLEGE CORK,430.0,505.0,True,False,False,False,False
CK203,Business Information Systems,UNIVERSITY COLLEGE CORK,410.0,455.0,True,False,True,False,False
CK204,Finance,UNIVERSITY COLLEGE CORK,420.0,485.0,True,False,False,False,False
CK205,Commerce (International) with French,UNIVERSITY COLLEGE CORK,485.0,525.0,True,False,False,False,False
CK206,Commerce (International) with German,UNIVERSITY COLLEGE CORK,405.0,480.0,True,False,False,False,False
CK207,Commerce (International) with Italian,UNIVERSITY COLLEGE CORK,385.0,410.0,True,False,False,False,False
CK208,Commerce (International) with Hispanic Studies,UNIVERSITY COLLEGE CORK,430.0,480.0,True,False,False,False,False
CK209,Commerce (International) with Irish,UNIVERSITY COLLEGE CORK,430.0,505.0,True,False,True,False,False
CK210,Government,UNIVERSITY COLLEGE CORK,330.0,375.0,True,False,False,False,False
CK211,Commerce (International) with Chinese Studies,UNIVERSITY COLLEGE CORK,355.0,430.0,True,False,False,False,False
CK301,Law,UNIVERSITY COLLEGE CORK,470.0,495.0,True,False,False,False,False
CK302,Law and French,UNIVERSITY COLLEGE CORK,500.0,540.0,True,False,False,False,False
CK304,Law and Irish,UNIVERSITY COLLEGE CORK,525.0,545.0,True,False,False,False,False
CK305,Law (Clinical),UNIVERSITY COLLEGE CORK,530.0,545.0,True,False,False,False,False
CK306,Law (International),UNIVERSITY COLLEGE CORK,550.0,570.0,True,False,False,False,False
CK401,Computer Science,UNIVERSITY COLLEGE CORK,340.0,395.0,True,False,False,False,False
CK402,Biological and Chemical Sciences,UNIVERSITY COLLEGE CORK,410.0,475.0,True,False,False,False,False
CK404,Environmental and Earth System Sciences,UNIVERSITY COLLEGE CORK,390.0,440.0,True,False,False,False,False
CK405,Genetics,UNIVERSITY COLLEGE CORK,465.0,500.0,True,False,False,False,False
CK406,Chemical Sciences,UNIVERSITY COLLEGE CORK,380.0,440.0,True,False,False,False,False
CK407,Mathematical Sciences,UNIVERSITY COLLEGE CORK,520.0,565.0,True,False,False,False,False
CK408,Physics and Astrophysics,UNIVERSITY COLLEGE CORK,460.0,515.0,True,False,False,False,False
CK502,Food Marketing and Entrepreneurship,UNIVERSITY COLLEGE CORK,435.0,460.0,True,False,False,False,False
CK504,Nutritional Sciences,UNIVERSITY COLLEGE CORK,490.0,510.0,True,False,False,False,False
CK505,Food Science,UNIVERSITY COLLEGE CORK,405.0,430.0,True,False,False,False,False
CK506,International Development and Food Policy,UNIVERSITY COLLEGE CORK,335.0,375.0,True,False,False,False,False
