,Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
0,AL801,Software Design (Common Entry,ATHLONE IT,280.0,335.0,True,False,False,False,False
1,AL820,Mechanical and Polymer Engineering,ATHLONE IT,315.0,365.0,True,False,False,False,False
2,AL830,General Nursing,ATHLONE IT,410.0,420.0,True,False,False,False,False
3,AL831,Mature Applicants General Nursing,ATHLONE IT,169.0,173.0,True,True,False,False,False
4,AL832,Psychiatric Nursing,ATHLONE IT,390.0,395.0,True,False,False,False,False
5,AL833,Mature Applicants Psychiatric Nursing,ATHLONE IT,166.0,170.0,True,True,False,False,False
6,AL836,Health Science with Nutrition,ATHLONE IT,390.0,415.0,True,False,False,False,False
7,AL837,Sports Science with Exercise Physiology,ATHLONE IT,380.0,395.0,True,False,False,False,False
8,AL838,Biotechnology,ATHLONE IT,295.0,345.0,True,False,False,False,False
9,AL840,Pharmaceutical Science,ATHLONE IT,275.0,315.0,True,False,False,False,False
10,AL841,Sports Therapy with Rehabilitation,ATHLONE IT,395.0,425.0,True,False,False,False,False
11,AL842,Bioveterinary Science,ATHLONE IT,340.0,380.0,True,False,False,False,False
12,AL850,Business,ATHLONE IT,295.0,350.0,True,False,False,False,False
13,AL851,Business and Law,ATHLONE IT,270.0,310.0,True,False,False,False,False
14,AL852,Accounting,ATHLONE IT,310.0,365.0,True,False,False,False,False
15,AL854,Business Psychology,ATHLONE IT,295.0,360.0,True,False,False,False,False
16,AL860,Social Care Practice,ATHLONE IT,320.0,350.0,True,False,False,False,False
17,PC405,Citizenship and Community Studies,CARLOW COLLEGE,255.0,350.0,True,False,False,False,False
18,PC410,Humanities,CARLOW COLLEGE,250.0,310.0,True,False,False,False,False
19,PC411,English and History,CARLOW COLLEGE,265.0,310.0,True,False,False,False,False
20,CW018,Business - Options: Business Digital Marketing (Wexford),IT CARLOW,305.0,340.0,True,False,False,False,False
21,CW028,Early Childhood Education and Care (Wexford),IT CARLOW,265.0,290.0,True,False,False,False,False
22,CW038,Art (Portfolio) (Wexford),IT CARLOW,700.0,700.0,True,True,False,False,False
23,CW068,Applied Social Studies (Professional Social Care) (Wexford),IT CARLOW,285.0,335.0,True,False,False,False,False
24,CW088,Visual Communications and Design (Wexford),IT CARLOW,235.0,320.0,True,False,False,False,False
25,CW098,Culture and Heritage Studies (Wexford),IT CARLOW,260.0,345.0,True,False,False,False,False
26,CW108,Biosciences with Bioforensics or Biopharmaceuticals,IT CARLOW,305.0,360.0,True,False,False,False,False
27,CW168,Environmental Science,IT CARLOW,300.0,330.0,True,False,False,False,False
28,CW178,Sport Science,IT CARLOW,420.0,435.0,True,False,False,False,False
29,CW188,Sports Rehabilitation and Athletic Therapy,IT CARLOW,445.0,470.0,True,False,False,False,False
30,CW198,Strength and Conditioning,IT CARLOW,400.0,410.0,True,False,False,False,False
