,Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
0,AL801,Software Design (Game Development or Cloud Computing),Athlone Institute of Technology,290.0,329.0,True,False,False,False,False
1,AL810,Quantity Surveying,Athlone Institute of Technology,311.0,357.0,True,False,False,False,False
2,AL820,Mechanical and Polymer Engineering,Athlone Institute of Technology,300.0,336.0,True,False,False,False,False
3,AL830,General Nursing,Athlone Institute of Technology,398.0,418.0,True,False,True,False,False
4,AL832,Psychiatric Nursing,Athlone Institute of Technology,378.0,389.0,True,False,False,False,False
5,AL836,Health Science with Nutrition,Athlone Institute of Technology,346.0,367.0,True,False,False,False,False
6,AL837,Sports Science with Exercise Physiology,Athlone Institute of Technology,354.0,379.0,True,False,False,False,False
7,AL838,Biotechnology,Athlone Institute of Technology,270.0,338.0,True,False,False,False,False
8,AL839,Microbiology,Athlone Institute of Technology,318.0,371.0,True,False,False,False,False
9,AL840,Pharmaceutical Science,Athlone Institute of Technology,257.0,302.0,True,False,False,False,False
10,AL841,Athletic and Rehabilitation Therapy,Athlone Institute of Technology,405.0,429.0,True,False,False,False,False
11,AL842,Bioveterinary Science,Athlone Institute of Technology,301.0,358.0,True,False,False,False,False
12,AL843,Physical Activity and Health,Athlone Institute of Technology,306.0,327.0,True,False,False,False,False
13,AL850,Business,Athlone Institute of Technology,296.0,337.0,True,False,False,False,False
14,AL851,Business and Law,Athlone Institute of Technology,300.0,357.0,True,False,False,False,False
15,AL852,Accounting (with optional placement),Athlone Institute of Technology,293.0,352.0,True,False,False,False,False
16,AL853,Accounting and Law,Athlone Institute of Technology,308.0,326.0,True,False,False,False,False
17,AL854,Business Psychology,Athlone Institute of Technology,291.0,347.0,True,False,False,False,False
18,AL860,Social Care Practice,Athlone Institute of Technology,300.0,338.0,True,False,False,False,False
19,AL861,Animation and Illustration (Portfolio and Interview Required),Athlone Institute of Technology,605.0,860.0,True,True,False,False,False
20,CW018,Business (Wexford),"Institute of Technology, Carlow",255.0,366.0,True,False,False,False,False
21,CW028,Early Childhood Education and Care (Wexford),"Institute of Technology, Carlow",260.0,306.0,True,False,False,False,False
22,CW038,Art (Wexford - Portfolio),"Institute of Technology, Carlow",700.0,700.0,True,True,False,False,False
23,CW068,Applied Social Studies - Professional Social Care (Wexford),"Institute of Technology, Carlow",270.0,300.0,True,False,False,False,False
24,CW078,Sustainable Farm Management and Agribusiness (Wexford),"Institute of Technology, Carlow",307.0,348.0,True,False,False,False,False
25,CW088,Visual Communications and Design (Wexford),"Institute of Technology, Carlow",264.0,338.0,True,False,False,False,False
26,CW108,Science,"Institute of Technology, Carlow",295.0,357.0,True,False,False,False,False
27,CW178,Sport Science,"Institute of Technology, Carlow",400.0,426.0,True,False,False,False,False
28,CW188,Sport Rehabilitation and Athletic Therapy,"Institute of Technology, Carlow",441.0,464.0,True,False,False,False,False
29,CW198,Strength and Conditioning,"Institute of Technology, Carlow",367.0,397.0,True,False,False,False,False
30,CW208,Computer Games Development,"Institute of Technology, Carlow",290.0,344.0,True,False,False,False,False
31,CW238,Software Development,"Institute of Technology, Carlow",290.0,310.0,True,False,False,False,False
32,CW248,Information Technology Management,"Institute of Technology, Carlow",301.0,352.0,True,False,False,False,False
33,CW258,Cybercrime and IT Security,"Institute of Technology, Carlow",309.0,356.0,True,False,False,False,False
34,CW438,Construction,"Institute of Technology, Carlow",261.0,300.0,True,False,False,False,False
35,CW468,Architectural Technology,"Institute of Technology, Carlow",261.0,310.0,True,False,False,False,False
36,CW478,Civil Engineering,"Institute of Technology, Carlow",360.0,435.0,True,False,False,False,False
37,CW548,Mechanical Engineering,"Institute of Technology, Carlow",301.0,351.0,True,False,False,False,False
38,CW558,Electronic Systems,"Institute of Technology, Carlow",302.0,361.0,True,False,False,False,False
39,CW568,Aerospace Engineering,"Institute of Technology, Carlow",365.0,393.0,True,False,False,False,False
40,CW578,TV and Media Production,"Institute of Technology, Carlow",374.0,393.0,True,False,False,False,False
41,CW708,Law - LLB,"Institute of Technology, Carlow",295.0,326.0,True,False,False,False,False
42,CW728,Product Design Innovation,"Institute of Technology, Carlow",309.0,358.0,True,False,False,False,False
43,CW748,Early Childhood Education and Care,"Institute of Technology, Carlow",280.0,337.0,True,False,False,False,False
44,CW758,Applied Social Studies - Professional Social Care,"Institute of Technology, Carlow",290.0,317.0,True,False,False,False,False
45,CW788,Youth and Community Work (Interview),"Institute of Technology, Carlow",700.0,700.0,True,True,False,False,False
46,CW808,Media and Public Relations,"Institute of Technology, Carlow",271.0,308.0,True,False,False,False,False
47,CW858,Sport Management and Coaching (GAA/Rugby/Soccer - Portfolio),"Institute of Technology, Carlow",700.0,700.0,True,True,False,False,False
48,CW908,Business,"Institute of Technology, Carlow",270.0,319.0,True,False,False,False,False
49,CW938,Business with Law,"Institute of Technology, Carlow",293.0,341.0,True,False,False,False,False
50,CW948,Accounting,"Institute of Technology, Carlow",306.0,382.0,True,False,False,False,False
51,PC405,Citizenship and Community Studies,Carlow College,211.0,271.0,True,False,False,False,False
52,PC410,Humanities,Carlow College,179.0,277.0,True,False,False,False,False
53,PC411,English and History,Carlow College,211.0,288.0,True,False,False,False,False
54,CR105,Chemical and Biopharmaceutical Engineering,Cork Institute of Technology,443.0,509.0,True,False,False,False,False
55,CR106,Software Development,Cork Institute of Technology,357.0,395.0,True,False,False,False,False
56,CR108,Mechanical Engineering,Cork Institute of Technology,422.0,476.0,True,False,False,False,False
57,CR109,Structural Engineering,Cork Institute of Technology,326.0,433.0,True,False,False,False,False
58,CR112,Creative Digital Media,Cork Institute of Technology,318.0,359.0,True,False,False,False,False
59,CR116,Computer Systems,Cork Institute of Technology,351.0,378.0,True,False,False,False,False
60,CR121,Music at CIT Cork School of Music,Cork Institute of Technology,583.0,1035.0,True,True,False,False,False
61,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,Cork Institute of Technology,836.0,836.0,True,True,False,False,False
62,CR126,Popular Music: Drums at CIT Cork School of Music,Cork Institute of Technology,836.0,920.0,True,True,False,False,False
