Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
AL031,Computer and Software Engineering                 ,ATHLONE IT,265.0,315.0,True,False,False,False,False
AL032,Polymer Technology                                ,ATHLONE IT,295.0,355.0,True,False,False,False,False
AL033,Toxicology                                        ,ATHLONE IT,255.0,335.0,True,False,False,False,False
AL035,Construction Technology & Management              ,ATHLONE IT,205.0,325.0,True,False,False,False,False
AL110,General Nursing                                   ,ATHLONE IT,355.0,380.0,True,False,True,False,False
AL111,Mature Applicants General Nursing                 ,ATHLONE IT,,,True,True,False,False,False
AL112,Psychiatric Nursing                               ,ATHLONE IT,305.0,330.0,True,False,False,False,False
AL113,Mature Applicants Psychiatric Nursing             ,ATHLONE IT,,,True,True,False,False,False
PC410,Humanities                                        ,CARLOW COLLEGE,310.0,345.0,True,False,False,False,False
CW046,Computer Networking                               ,IT CARLOW,190.0,300.0,True,False,False,False,False
CW100,International Business with French                ,IT CARLOW,,,True,False,False,False,False
CW105,Early Childhood Studies                           ,IT CARLOW,350.0,370.0,True,False,True,False,False
CW120,Early Childhood Studies  ( Wexford Campus )       ,IT CARLOW,310.0,340.0,True,False,True,False,False
CW122,B.A. in Accounting                                ,IT CARLOW,240.0,325.0,True,False,False,False,False
CR105,Chemical Engineering                              ,CORK IT,440.0,480.0,True,False,False,False,False
CR106,Computer Applications                             ,CORK IT,255.0,335.0,True,False,False,False,False
CR107,Electronic Engineering                            ,CORK IT,310.0,365.0,True,False,False,False,False
CR108,Mechanical Engineering                            ,CORK IT,380.0,440.0,True,False,False,False,False
CR109,Structural Engineering                            ,CORK IT,425.0,450.0,True,False,False,False,False
CR111,Computerised Instrument Systems                   ,CORK IT,225.0,330.0,True,False,False,False,False
CR112,Multimedia                                        ,CORK IT,420.0,445.0,True,False,False,False,False
CR116,Software Dev & Comp Net                           ,CORK IT,300.0,360.0,True,False,False,False,False
CR121,Music                                             ,CORK IT,650.0,905.0,True,False,True,False,False
CR150,Business Studies in Information Systems           ,CORK IT,345.0,370.0,True,False,False,False,False
CK101,Arts                                              ,UNIVERSITY COLLEGE CORK,380.0,420.0,True,False,False,False,False
CK102,Social Science                                    ,UNIVERSITY COLLEGE CORK,405.0,435.0,True,False,False,False,False
CK103,Music                                             ,UNIVERSITY COLLEGE CORK,340.0,405.0,True,True,False,False,False
CK104,Arts/Music                                        ,UNIVERSITY COLLEGE CORK,420.0,475.0,True,True,False,False,False
CK105,European Studies                                  ,UNIVERSITY COLLEGE CORK,265.0,390.0,True,False,False,False,False
CK106,Applied Psychology                                ,UNIVERSITY COLLEGE CORK,505.0,520.0,True,False,False,False,False
CK111,Early Childhood Studies                           ,UNIVERSITY COLLEGE CORK,390.0,410.0,True,False,False,False,False
CK112,Drama and Theatre Studies                         ,UNIVERSITY COLLEGE CORK,425.0,465.0,True,True,False,False,False
CK113,Language and Cultural Studies                     ,UNIVERSITY COLLEGE CORK,280.0,390.0,True,False,False,False,False
CK201,Commerce                                          ,UNIVERSITY COLLEGE CORK,445.0,470.0,True,False,False,False,False
CK202,Accounting                                        ,UNIVERSITY COLLEGE CORK,475.0,495.0,True,False,False,False,False
CK203,Business Information Systems                      ,UNIVERSITY COLLEGE CORK,380.0,420.0,True,False,False,False,False
CK204,Finance                                           ,UNIVERSITY COLLEGE CORK,445.0,475.0,True,False,False,False,False
CK205,Commerce with French                              ,UNIVERSITY COLLEGE CORK,405.0,465.0,True,False,False,False,False
