Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
AL801,Software Design (Game Development or Cloud Computing),Athlone Institute of Technology,280.0,345.0,True,False,False,False,False
AL820,Mechanical and Polymer Engineering,Athlone Institute of Technology,315.0,355.0,True,False,False,False,False
AL830,General Nursing,Athlone Institute of Technology,420.0,435.0,True,False,False,False,False
AL831,Mature Applicants General Nursing,Athlone Institute of Technology,176.0,182.0,True,True,True,False,False
AL832,Psychiatric Nursing,Athlone Institute of Technology,390.0,400.0,True,False,False,False,False
AL833,Mature Applicants Psychiatric Nursing,Athlone Institute of Technology,167.0,175.0,True,True,False,False,False
AL836,Health Science with Nutrition,Athlone Institute of Technology,365.0,390.0,True,False,False,False,False
AL837,Sports Science with Exercise Physiology,Athlone Institute of Technology,370.0,390.0,True,False,False,False,False
AL838,Biotechnology,Athlone Institute of Technology,285.0,340.0,True,False,False,False,False
AL840,Pharmaceutical Science,Athlone Institute of Technology,260.0,320.0,True,False,False,False,False
AL841,Athletic and Rehabilitation Therapy,Athlone Institute of Technology,400.0,425.0,True,False,False,False,False
AL842,Bioveterinary Science,Athlone Institute of Technology,325.0,385.0,True,False,False,False,False
AL850,Business,Athlone Institute of Technology,300.0,355.0,True,False,False,False,False
AL851,Business and Law,Athlone Institute of Technology,300.0,340.0,True,False,False,False,False
AL852,Accounting,Athlone Institute of Technology,305.0,380.0,True,False,False,False,False
AL854,Business Psychology,Athlone Institute of Technology,300.0,340.0,True,False,False,False,False
AL860,Social Care Practice,Athlone Institute of Technology,310.0,345.0,True,False,False,False,False
PC405,Citizenship and Community Studies,Carlow College,267.0,295.0,True,False,False,False,False
PC410,Humanities,Carlow College,183.0,320.0,True,False,False,False,False
PC411,English and History,Carlow College,270.0,320.0,True,False,False,False,False
CW008,Applied Humanities (Wexford),"Institute of Technology, Carlow",275.0,320.0,True,False,False,False,False
CW018,Business (Options: Business or Digital Marketing - Wexford),"Institute of Technology, Carlow",250.0,310.0,True,False,False,False,False
CW028,Early Childhood Education and Care (Wexford),"Institute of Technology, Carlow",260.0,310.0,True,False,False,False,False
CW038,Art (Wexford) - Portfolio,"Institute of Technology, Carlow",700.0,700.0,True,True,False,False,False
CW068,Applied Social Studies (Professional Social Care - Wexford),"Institute of Technology, Carlow",280.0,290.0,True,False,False,False,False
CW088,Visual Communications and Design (Wexford),"Institute of Technology, Carlow",250.0,335.0,True,False,False,False,False
CW098,Culture and Heritage Studies (Wexford),"Institute of Technology, Carlow",230.0,335.0,True,False,False,False,False
CW108,Biosciences with Bioforensics or Biopharmaceuticals,"Institute of Technology, Carlow",300.0,365.0,True,False,False,False,False
CW168,Environmental Science,"Institute of Technology, Carlow",320.0,370.0,True,False,False,False,False
CW178,Sport Science,"Institute of Technology, Carlow",420.0,440.0,True,False,False,False,False
CW188,Sports Rehabilitation and Athletic Therapy,"Institute of Technology, Carlow",445.0,470.0,True,False,False,False,False
CW198,Strength and Conditioning,"Institute of Technology, Carlow",390.0,405.0,True,False,False,False,False
CW208,Computer Games Development,"Institute of Technology, Carlow",315.0,375.0,True,False,False,False,False
CW238,Software Development,"Institute of Technology, Carlow",320.0,375.0,True,False,False,False,False
CW248,Computer Systems Management,"Institute of Technology, Carlow",305.0,335.0,True,False,False,False,False
CW438,Quantity Surveying,"Institute of Technology, Carlow",260.0,305.0,True,False,False,False,False
CW448,Facilities and Energy Management,"Institute of Technology, Carlow",255.0,295.0,True,False,False,False,False
CW468,Architectural Technology,"Institute of Technology, Carlow",260.0,320.0,True,False,False,False,False
CW478,Civil Engineering,"Institute of Technology, Carlow",340.0,380.0,True,False,False,False,False
CW548,Mechanical Engineering,"Institute of Technology, Carlow",280.0,325.0,True,False,False,False,False
CW558,Electronic Systems,"Institute of Technology, Carlow",290.0,335.0,True,False,False,False,False
CW568,Aero Engineering,"Institute of Technology, Carlow",380.0,405.0,True,False,False,False,False
CW578,TV and Media Production,"Institute of Technology, Carlow",365.0,395.0,True,False,False,False,False
CW708,Law - LLB,"Institute of Technology, Carlow",290.0,330.0,True,False,False,False,False
CW728,Product Design Innovation,"Institute of Technology, Carlow",300.0,335.0,True,False,False,False,False
CW748,Early Childhood Education and Care,"Institute of Technology, Carlow",285.0,330.0,True,False,False,False,False
CW758,Applied Social Studies (Professional Social Care),"Institute of Technology, Carlow",300.0,340.0,True,False,False,False,False
CW788,Youth and Community Work - Interview,"Institute of Technology, Carlow",700.0,700.0,True,False,False,False,False
CW808,Media and Public Relations,"Institute of Technology, Carlow",270.0,335.0,True,False,False,False,False
CW838,Business - Marketing,"Institute of Technology, Carlow",280.0,345.0,True,False,False,False,False
CW858,Sport Management and Coaching (Options: GAA/Rugby/Soccer) - Portfolio,"Institute of Technology, Carlow",700.0,700.0,True,False,False,False,False
CW908,Business - Management,"Institute of Technology, Carlow",290.0,345.0,True,False,False,False,False
CW928,Business - Human Resource Management,"Institute of Technology, Carlow",280.0,350.0,True,False,False,False,False
CW938,Business with Law,"Institute of Technology, Carlow",285.0,365.0,True,False,False,False,False
CW948,Accounting,"Institute of Technology, Carlow",295.0,370.0,True,False,False,False,False
CR105,Chemical and Biopharmaceutical Engineering,Cork Institute of Technology,425.0,485.0,True,False,False,False,False
CR106,Software Development,Cork Institute of Technology,365.0,380.0,True,False,False,False,False
CR108,Mechanical Engineering,Cork Institute of Technology,415.0,470.0,True,False,False,False,False
CR109,Structural Engineering,Cork Institute of Technology,420.0,445.0,True,False,False,False,False
CR112,Multimedia,Cork Institute of Technology,370.0,400.0,True,False,False,False,False
CR116,Software Development and Computer Networking,Cork Institute of Technology,315.0,345.0,True,False,False,False,False
CR121,Music at CIT Cork School of Music,Cork Institute of Technology,685.0,1005.0,True,True,False,False,False
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,Cork Institute of Technology,779.0,,True,True,False,False,False
CR126,Popular Music: Drums  at CIT Cork School of Music,Cork Institute of Technology,695.0,885.0,True,True,False,False,False
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,Cork Institute of Technology,625.0,895.0,True,True,False,False,False
CR128,Popular Music: Keyboards  at CIT Cork School of Music,Cork Institute of Technology,1095.0,1135.0,True,True,False,False,False
CR129,Popular Music: Voice at CIT Cork School of Music,Cork Institute of Technology,840.0,965.0,True,True,False,False,False
CR150,Business Information Systems,Cork Institute of Technology,355.0,400.0,True,False,False,False,False
CR210,"Contemporary Applied Art (Ceramic,Glass,Textiles) at CIT Crawford Colleg",Cork Institute of Technology,665.0,925.0,True,True,False,False,False
CR220,Fine Art at CIT Crawford College of Art and Design,Cork Institute of Technology,515.0,975.0,True,True,False,False,False
CR305,Physical Sciences (Common Entry),Cork Institute of Technology,325.0,345.0,True,False,False,False,False
CR310,IT  Management,Cork Institute of Technology,300.0,325.0,True,False,False,False,False
CR312,Web Development,Cork Institute of Technology,320.0,340.0,True,False,False,False,False
CR320,Biomedical Science - Joint CIT and UCC programme,Cork Institute of Technology,525.0,550.0,True,False,True,False,False
CR325,Pharmaceutical Biotechnology,Cork Institute of Technology,350.0,395.0,True,False,False,False,False
CR330,Herbal Science,Cork Institute of Technology,330.0,375.0,True,False,False,False,False
CR333,Nutrition and Health Science,Cork Institute of Technology,375.0,410.0,True,False,False,False,False
CR335,Common Entry Biological Sciences,Cork Institute of Technology,390.0,410.0,True,False,False,False,False
CR340,Analytical Chemistry with Quality Assurance,Cork Institute of Technology,300.0,340.0,True,False,False,False,False
CR360,Instrument Engineering,Cork Institute of Technology,300.0,380.0,True,False,False,False,False
CR365,Environmental Science and Sustainable Technology,Cork Institute of Technology,300.0,350.0,True,False,False,False,False
CR400,Accounting,Cork Institute of Technology,310.0,380.0,True,False,False,False,False
CR420,Marketing,Cork Institute of Technology,305.0,340.0,True,False,False,False,False
CR425,International Business with Language,Cork Institute of Technology,290.0,395.0,True,False,False,False,False
CR500,Engineering (Common Entry),Cork Institute of Technology,390.0,430.0,True,False,False,False,False
CR510,Sustainable Energy Engineering,Cork Institute of Technology,300.0,360.0,True,False,False,False,False
CR520,Biomedical Engineering,Cork Institute of Technology,435.0,505.0,True,False,False,False,False
CR560,Architectural Technology,Cork Institute of Technology,290.0,335.0,True,False,False,False,False
CR565,Interior Architecture,Cork Institute of Technology,300.0,360.0,True,False,False,False,False
CR570,Quantity Surveying,Cork Institute of Technology,285.0,335.0,True,False,False,False,False
CR572,Construction Management,Cork Institute of Technology,240.0,290.0,True,False,False,False,False
CR580,Electrical Engineering,Cork Institute of Technology,315.0,380.0,True,False,False,False,False
CR590,Electronic Engineering,Cork Institute of Technology,300.0,360.0,True,False,False,False,False
CR600,Visual Communications,Cork Institute of Technology,485.0,830.0,True,True,False,False,False
CR660,Tourism,Cork Institute of Technology,265.0,315.0,True,False,False,False,False
CR700,Theatre and Drama Studies at CIT Cork School of Music,Cork Institute of Technology,745.0,930.0,True,True,False,False,False
CK101,Arts - 3 years,University College Cork (NUI),350.0,400.0,True,False,False,False,False
CK102,Social Science,University College Cork (NUI),435.0,455.0,True,False,False,False,False
CK104,Arts with Music-3 Years or 4 years(BMus or Intl Pathway),University College Cork (NUI),410.0,450.0,True,True,False,False,False
