,Course Code,Course Name 2019,EOS 2019,Mid 2019,Institution,Test 2019,NotAll 2019,Matric 2019,AQA 2019,Level8 2019
64,CR106,Software Development,351.0,393.0,Cork Institute of Technology,False,False,False,False,True
65,CR108,Mechanical Engineering,425.0,487.0,Cork Institute of Technology,False,False,False,False,True
66,CR109,Structural Engineering,341.0,467.0,Cork Institute of Technology,False,False,False,False,True
67,CR110,Automotive Business Management and Technology,318.0,347.0,Cork Institute of Technology,False,False,False,False,True
68,CR112,Creative Digital Media,335.0,389.0,Cork Institute of Technology,False,False,False,False,True
69,CR116,Computer Systems,318.0,381.0,Cork Institute of Technology,False,False,False,False,True
70,CR121,Music at CIT Cork School of Music,633.0,1052.0,Cork Institute of Technology,True,False,False,False,True
71,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,972.0,1021.0,Cork Institute of Technology,True,False,False,False,True
72,CR126,Popular Music: Drums at CIT Cork School of Music,878.0,1043.0,Cork Institute of Technology,True,False,False,False,True
73,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,584.0,761.0,Cork Institute of Technology,True,False,False,False,True
74,CR128,Popular Music: Keyboards at CIT Cork School of Music,839.0,1009.0,Cork Institute of Technology,True,False,False,False,True
75,CR129,Popular Music: Voice at CIT Cork School of Music,857.0,927.0,Cork Institute of Technology,True,False,False,False,True
76,CR130,Musical Theatre,500.0,600.0,Cork Institute of Technology,True,False,False,False,True
77,CR150,Business Information Systems,326.0,371.0,Cork Institute of Technology,False,False,False,False,True
78,CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979.0,979.0,Cork Institute of Technology,True,False,False,False,True
79,CR220,Fine Art at CIT Crawford College of Art and Design,620.0,819.0,Cork Institute of Technology,True,False,False,False,True
80,CR225,Photography with New Media,920.0,920.0,Cork Institute of Technology,True,False,False,False,True
81,CR305,Physical Sciences (Common Entry),279.0,309.0,Cork Institute of Technology,False,False,False,False,True
82,CR310,IT Management,282.0,317.0,Cork Institute of Technology,False,False,False,False,True
83,CR320,Biomedical Science (Offered jointly by CIT and UCC),546.0,556.0,Cork Institute of Technology,False,False,False,False,True
84,CR325,Pharmaceutical Biotechnology,388.0,422.0,Cork Institute of Technology,False,False,False,False,True
85,CR333,Nutrition and Health Science,360.0,393.0,Cork Institute of Technology,False,False,False,False,True
86,CR335,Biological Sciences (Common Entry),381.0,419.0,Cork Institute of Technology,False,False,False,False,True
87,CR340,Analytical Chemistry with Quality Assurance,288.0,315.0,Cork Institute of Technology,False,False,False,False,True
88,CR360,Instrument Engineering,291.0,329.0,Cork Institute of Technology,False,False,False,False,True
89,CR365,Environmental Science and Sustainable Technology,334.0,362.0,Cork Institute of Technology,False,False,False,False,True
90,CR370,Agri-Biosciences,408.0,431.0,Cork Institute of Technology,False,False,False,False,True
91,CR400,Accounting,316.0,389.0,Cork Institute of Technology,False,False,False,False,True
92,CR420,Marketing,288.0,329.0,Cork Institute of Technology,False,False,False,False,True
93,CR425,International Business with Language,300.0,392.0,Cork Institute of Technology,False,False,False,False,True
94,CR500,Engineering (Common Entry),381.0,424.0,Cork Institute of Technology,False,False,False,False,True
95,CR510,Sustainable Energy Engineering,319.0,343.0,Cork Institute of Technology,False,False,False,False,True
96,CR520,Biomedical Engineering,434.0,477.0,Cork Institute of Technology,False,False,False,False,True
97,CR560,Architectural Technology,288.0,332.0,Cork Institute of Technology,False,False,False,False,True
98,CR565,Interior Architecture,336.0,390.0,Cork Institute of Technology,False,False,False,False,True
99,CR570,Quantity Surveying,279.0,342.0,Cork Institute of Technology,False,False,False,False,True
100,CR572,Construction Management,253.0,300.0,Cork Institute of Technology,False,False,False,False,True
101,CR580,Electrical Engineering,344.0,374.0,Cork Institute of Technology,False,False,False,False,True
102,CR590,Electronic Engineering,342.0,411.0,Cork Institute of Technology,False,False,False,False,True
103,CR600,Visual Communications,587.0,888.0,Cork Institute of Technology,True,False,False,False,True
104,CR660,Tourism Management,249.0,290.0,Cork Institute of Technology,False,False,False,False,True
105,CR700,Theatre and Drama Studies at CIT Cork School of Music,768.0,906.0,Cork Institute of Technology,True,False,False,False,True
106,CK101,Arts - 3 years,300.0,368.0,University College Cork (NUI),False,False,False,False,True
107,CK102,Social Science,391.0,431.0,University College Cork (NUI),False,False,False,False,True
108,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),340.0,409.0,University College Cork (NUI),True,False,False,False,True
109,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),397.0,442.0,University College Cork (NUI),False,False,False,False,True
110,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326.0,388.0,University College Cork (NUI),False,False,False,False,True
111,CK108,Arts International - 4 years,429.0,466.0,University College Cork (NUI),False,False,False,False,True
112,CK109,English - 3 years or 4 years (International Pathway),347.0,423.0,University College Cork (NUI),False,False,False,False,True
113,CK110,World Languages,456.0,506.0,University College Cork (NUI),False,False,False,False,True
114,CK111,Early Years and Childhood Studies,398.0,429.0,University College Cork (NUI),False,False,False,False,True
115,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),324.0,470.0,University College Cork (NUI),True,False,False,False,True
116,CK113,Criminology - 3 years or 4 years (International Pathway),408.0,430.0,University College Cork (NUI),False,False,False,False,True
117,CK114,Social Science (Youth and Community Work) - 3 years,,,University College Cork (NUI),True,False,False,False,True
118,CK115,Social Work - Mature Applicants only,,,University College Cork (NUI),True,False,False,False,True
119,CK116,Sports Studies and Physical Education,499.0,520.0,University College Cork (NUI),False,False,False,False,True
120,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307.0,361.0,University College Cork (NUI),False,False,False,False,True
121,CK120,Applied Psychology,506.0,532.0,University College Cork (NUI),False,False,False,False,True
122,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393.0,466.0,University College Cork (NUI),False,False,False,False,True
123,CK122,Government and Political Science,355.0,410.0,University College Cork (NUI),False,False,False,False,True
124,CK201,Commerce,465.0,489.0,University College Cork (NUI),False,True,False,False,True
125,CK202,Accounting,467.0,506.0,University College Cork (NUI),False,False,False,False,True
126,CK203,Business Information Systems,409.0,444.0,University College Cork (NUI),False,False,False,False,True
127,CK204,Finance,531.0,555.0,University College Cork (NUI),False,False,False,False,True
128,CK205,Commerce (International) with French,409.0,473.0,University College Cork (NUI),False,False,False,False,True
129,CK206,Commerce (International) with German,408.0,446.0,University College Cork (NUI),False,False,False,False,True
130,CK207,Commerce (International) with Italian,408.0,425.0,University College Cork (NUI),False,False,False,False,True
131,CK208,Commerce (International) with Hispanic Studies,431.0,455.0,University College Cork (NUI),False,False,False,False,True
132,CK209,Commerce (International) with Irish,509.0,528.0,University College Cork (NUI),False,False,False,False,True
